open_time,open,high,low,close,close_time,volume,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
1772526480000,0.26820000,0.26840000,0.26810000,0.26820000,1772526539999,167566.50000000,44942.26481000,161,27640.60000000,7414.91578000
1772526540000,0.26820000,0.26820000,0.26790000,0.26800000,1772526599999,42508.00000000,11394.39749000,134,16255.10000000,4357.80740000
1772526600000,0.26800000,0.26820000,0.26770000,0.26790000,1772526659999,145633.50000000,39015.81711000,313,67586.80000000,18105.92145000
1772526660000,0.26790000,0.26800000,0.26750000,0.26770000,1772526719999,58779.30000000,15742.61158000,172,28087.80000000,7522.06661000
1772526720000,0.26780000,0.26820000,0.26770000,0.26800000,1772526779999,37473.90000000,10040.90342000,161,31199.10000000,8359.90982000
1772526780000,0.26790000,0.26830000,0.26780000,0.26810000,1772526839999,206964.10000000,55479.10109000,226,159875.90000000,42861.86827000
1772526840000,0.26810000,0.26820000,0.26800000,0.26810000,1772526899999,23436.90000000,6281.86470000,98,6254.70000000,1676.54450000
1772526900000,0.26800000,0.26820000,0.26790000,0.26820000,1772526959999,87120.90000000,23352.60044000,169,49877.20000000,13369.46801000
1772526960000,0.26830000,0.26840000,0.26820000,0.26830000,1772527019999,71947.70000000,19305.18942000,148,21013.30000000,5638.60363000
1772527020000,0.26830000,0.26830000,0.26770000,0.26770000,1772527079999,21799.10000000,5846.09251000,75,4244.50000000,1138.23457000
1772527080000,0.26780000,0.26800000,0.26760000,0.26770000,1772527139999,84455.70000000,22622.76929000,219,59105.00000000,15834.11241000
1772527140000,0.26760000,0.26770000,0.26740000,0.26740000,1772527199999,125929.00000000,33685.31360000,258,80364.30000000,21499.99948000
1772527200000,0.26740000,0.26740000,0.26680000,0.26730000,1772527259999,537190.40000000,143423.90570000,602,212098.20000000,56633.13269000
1772527260000,0.26730000,0.26730000,0.26670000,0.26700000,1772527319999,102447.00000000,27339.83616000,270,43834.30000000,11699.93986000
1772527320000,0.26690000,0.26710000,0.26680000,0.26690000,1772527379999,22293.50000000,5951.28714000,128,6185.50000000,1651.52654000
