open_time,open,high,low,close,close_time,volume,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
1772524620000,68185.40000000,68208.01000000,68171.36000000,68206.36000000,1772524679999,4.24086000,289173.40847800,2084,1.15660000,78865.42966600
1772524680000,68206.35000000,68206.35000000,68175.90000000,68189.08000000,1772524739999,6.92330000,472057.36737810,2802,3.06511000,208979.02390820
1772524740000,68189.07000000,68189.08000000,68161.65000000,68172.80000000,1772524799999,5.37216000,366235.25531640,1685,1.62623000,110855.53932640
1772524800000,68172.79000000,68203.42000000,68146.01000000,68157.37000000,1772524859999,9.85371000,671753.15331090,4551,6.27135000,427510.83406820
1772524860000,68157.37000000,68202.44000000,68127.20000000,68202.43000000,1772524919999,4.09762000,279281.89118020,3245,2.68290000,182859.24063800
1772524920000,68202.43000000,68211.77000000,68166.02000000,68190.81000000,1772524979999,13.86036000,945150.98228520,3377,8.70808000,593788.18836640
1772524980000,68190.81000000,68203.45000000,68182.71000000,68199.44000000,1772525039999,6.65970000,454157.46023540,2660,3.65996000,249585.71688280
1772525040000,68199.43000000,68208.00000000,68135.95000000,68152.40000000,1772525099999,8.83506000,602102.94755320,2859,1.41968000,96782.51718000
1772525100000,68152.40000000,68201.31000000,68152.40000000,68184.52000000,1772525159999,3.54388000,241651.56885370,1716,1.57761000,107571.34026240
1772525160000,68184.51000000,68184.92000000,68151.28000000,68156.11000000,1772525219999,2.03475000,138718.85845400,1570,0.48587000,33118.19763410
1772525220000,68156.11000000,68177.06000000,68121.26000000,68130.90000000,1772525279999,7.60930000,518478.94904160,2648,4.56022000,310692.44891480
1772525280000,68130.90000000,68130.90000000,68085.91000000,68104.51000000,1772525339999,9.70818000,661117.37528790,2683,3.66697000,249719.03405570
1772525340000,68104.51000000,68182.68000000,68104.51000000,68163.57000000,1772525399999,4.92716000,335704.93000100,4250,2.40996000,164216.18858180
1772525400000,68163.57000000,68262.09000000,68163.57000000,68240.00000000,1772525459999,19.13861000,1305397.41543890,5655,16.31159000,1112546.64417460
1772525460000,68240.00000000,68311.83000000,68208.00000000,68252.44000000,1772525519999,18.84398000,1286549.46787290,7647,11.25036000,768123.62877120
1772525520000,68252.43000000,68252.43000000,68178.90000000,68227.94000000,1772525579999,5.66523000,386408.79463120,5044,3.23353000,220529.52518060
1772525580000,68227.94000000,68229.00000000,68157.21000000,68192.00000000,1772525639999,4.59245000,313225.29708410,4772,1.60140000,109216.81456780
1772525640000,68192.01000000,68192.01000000,67981.23000000,68010.75000000,1772525699999,25.11708000,1709741.20981310,8722,4.55121000,309908.72020320
1772525700000,68010.76000000,68016.52000000,67963.01000000,68015.21000000,1772525759999,9.49915000,645870.21120320,6545,4.98343000,338845.26779740
1772525760000,68015.21000000,68041.80000000,67973.10000000,67973.11000000,1772525819999,17.44461000,1186511.09837760,4511,2.30345000,156659.32603230
1772525820000,67973.11000000,68044.90000000,67973.11000000,68044.89000000,1772525879999,37.15440000,2526380.78807720,4461,16.46682000,1119700.31182360
1772525880000,68044.90000000,68099.30000000,68044.89000000,68066.00000000,1772525939999,20.44836000,1392005.04862940,5643,12.12815000,825606.69476350
1772525940000,68065.99000000,68065.99000000,67944.92000000,67996.57000000,1772525999999,62.23378000,4230369.38527960,7080,29.62985000,2013947.88244160
1772526000000,67996.56000000,68017.21000000,67869.12000000,67871.14000000,1772526059999,148.06333000,10064208.39051140,9465,38.45236000,2613315.97062090
1772526060000,67871.13000000,67931.35000000,67860.00000000,67910.61000000,1772526119999,14.02318000,952087.16364050,7453,6.50378000,441529.20479980
1772526120000,67910.61000000,67949.67000000,67907.59000000,67939.16000000,1772526179999,29.21213000,1984509.26290800,5398,23.45961000,1593734.42455490
1772526180000,67939.16000000,67950.00000000,67915.80000000,67941.70000000,1772526239999,7.87265000,534843.26751350,3019,2.83951000,192902.41292660
1772526240000,67941.69000000,67950.00000000,67925.01000000,67931.73000000,1772526299999,18.88690000,1283120.69545690,2649,10.01726000,680578.59707960
1772526300000,67931.72000000,67931.72000000,67733.30000000,67775.37000000,1772526359999,149.76361000,10154482.37246140,10407,17.34240000,1175681.74030550
1772526360000,67775.37000000,67861.25000000,67703.79000000,67850.00000000,1772526419999,52.88420000,3583980.43652250,13081,23.10527000,1566023.61899680
1772526420000,67849.99000000,67849.99000000,67803.49000000,67823.91000000,1772526479999,8.19958000,556118.38804190,5933,3.95660000,268327.89341560
1772526480000,67823.92000000,67839.65000000,67770.57000000,67788.44000000,1772526539999,11.45181000,776581.26008030,6186,4.01808000,272466.97995360
1772526540000,67788.22000000,67799.99000000,67741.88000000,67747.78000000,1772526599999,15.39939000,1043632.20813960,5220,9.54254000,646685.32890470
1772526600000,67747.77000000,67752.77000000,67658.14000000,67699.99000000,1772526659999,29.64984000,2007197.09634450,8921,9.14896000,619307.55009080
1772526660000,67700.00000000,67700.00000000,67650.00000000,67660.62000000,1772526719999,23.36114000,1580999.72546420,8126,7.09191000,479932.85696420
1772526720000,67660.61000000,67668.48000000,67596.10000000,67607.73000000,1772526779999,72.58252000,4907618.95488360,11581,20.24623000,1368889.08358710
1772526780000,67607.73000000,67708.43000000,67599.76000000,67665.10000000,1772526839999,59.42031000,4018718.56727490,9708,44.96817000,3041053.05225610
1772526840000,67665.10000000,67671.72000000,67612.92000000,67631.78000000,1772526899999,17.23039000,1165484.29922400,7841,5.76158000,389697.69736620
1772526900000,67631.78000000,67692.11000000,67594.60000000,67690.44000000,1772526959999,20.38685000,1378909.87088620,10156,14.42023000,975327.13340150
1772526960000,67690.45000000,67746.81000000,67690.45000000,67713.56000000,1772527019999,13.54027000,916839.34181310,8962,7.75851000,525347.36241800
1772527020000,67713.57000000,67720.80000000,67604.70000000,67604.71000000,1772527079999,19.67947000,1331957.20450160,7842,8.43872000,571245.38906050
1772527080000,67604.71000000,67627.50000000,67544.00000000,67558.19000000,1772527139999,41.31536000,2791979.77659270,10470,12.68967000,857680.18658860
1772527140000,67558.18000000,67558.19000000,67494.90000000,67507.76000000,1772527199999,70.53219000,4762185.80159390,11374,16.82493000,1136164.05492630
1772527200000,67507.76000000,67517.76000000,67436.07000000,67492.95000000,1772527259999,52.18730000,3520953.88417220,12052,28.09774000,1895666.84650480
1772527260000,67492.95000000,67492.95000000,67391.04000000,67398.61000000,1772527319999,46.42964000,3130146.82495000,11784,22.43066000,1512112.96074560
1772527320000,67398.60000000,67428.00000000,67366.00000000,67372.16000000,1772527379999,19.43100000,1309534.97190380,9607,10.15643000,684521.85994640
1772527380000,67372.17000000,67428.21000000,67340.00000000,67362.01000000,1772527439999,39.03982000,2630249.56956390,13307,11.07291000,746014.30138580
