open_time,open,high,low,close,close_time,volume,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
1772526480000,441.00000000,441.40000000,441.00000000,441.00000000,1772526539999,6.06800000,2676.64780000,51,3.50800000,1547.25660000
1772526540000,440.90000000,441.00000000,440.80000000,440.80000000,1772526599999,9.55100000,4211.21010000,44,1.02200000,450.59740000
1772526600000,440.70000000,440.90000000,440.00000000,440.20000000,1772526659999,14.28300000,6287.92940000,109,2.72800000,1200.96540000
1772526660000,440.20000000,440.20000000,439.40000000,439.40000000,1772526719999,12.96200000,5698.98990000,90,3.09500000,1360.54380000
1772526720000,439.40000000,439.90000000,439.30000000,439.50000000,1772526779999,14.67000000,6448.34730000,90,8.72000000,3833.23710000
1772526780000,439.40000000,439.50000000,439.30000000,439.50000000,1772526839999,12.03900000,5291.00740000,55,6.02400000,2647.53950000
1772526840000,439.50000000,439.50000000,439.30000000,439.50000000,1772526899999,7.95300000,3494.88680000,55,2.84600000,1250.69360000
1772526900000,439.50000000,440.00000000,439.30000000,440.00000000,1772526959999,10.13800000,4456.08410000,71,4.27800000,1880.27470000
1772526960000,440.10000000,440.10000000,439.70000000,440.00000000,1772527019999,7.70600000,3389.90680000,58,6.54700000,2880.02580000
1772527020000,440.00000000,440.00000000,439.30000000,439.30000000,1772527079999,2.74700000,1207.08890000,32,0.61100000,268.52150000
1772527080000,439.20000000,439.60000000,438.60000000,438.90000000,1772527139999,134.59900000,59081.77590000,194,56.36900000,24739.86890000
1772527140000,439.00000000,439.20000000,438.90000000,438.90000000,1772527199999,12.36900000,5429.56880000,54,6.42800000,2821.61040000
1772527200000,438.80000000,438.90000000,438.30000000,438.70000000,1772527259999,31.36800000,13753.64420000,148,15.91700000,6979.03650000
1772527260000,438.80000000,439.00000000,438.30000000,438.40000000,1772527319999,22.36300000,9807.64970000,128,8.39700000,3681.44510000
1772527320000,438.40000000,438.40000000,438.20000000,438.40000000,1772527379999,3.36300000,1473.84660000,26,1.65200000,724.07320000
1772527380000,438.40000000,438.50000000,437.90000000,437.90000000,1772527439999,51.59100000,22606.37690000,110,1.04700000,458.81260000
1772527440000,437.90000000,437.90000000,437.50000000,437.70000000,1772527499999,79.38400000,34745.32620000,132,63.97900000,28003.66230000
1772527500000,437.60000000,437.70000000,436.70000000,437.40000000,1772527559999,110.09800000,48136.33660000,281,26.62500000,11647.81170000
1772527560000,437.50000000,437.50000000,436.70000000,436.70000000,1772527619999,18.55000000,8108.27850000,85,2.89200000,1263.88460000
1772527620000,436.70000000,437.60000000,436.10000000,437.00000000,1772527679999,45.84600000,20012.13810000,224,18.36400000,8020.52510000
1772527680000,436.90000000,437.10000000,436.70000000,436.70000000,1772527739999,26.43700000,11549.70230000,96,9.13900000,3992.43320000
1772527740000,436.80000000,437.00000000,436.30000000,436.50000000,1772527799999,10.24700000,4474.87790000,77,4.68900000,2048.52980000
1772527800000,436.60000000,436.90000000,436.40000000,436.80000000,1772527859999,18.79500000,8205.88490000,65,4.90800000,2143.08900000
1772527860000,436.70000000,436.90000000,436.60000000,436.60000000,1772527919999,6.54900000,2860.14760000,48,0.12700000,55.47730000
1772527920000,436.50000000,436.70000000,436.30000000,436.40000000,1772527979999,5.58500000,2437.53780000,61,1.47200000,642.55500000
1772527980000,436.50000000,437.00000000,436.50000000,437.00000000,1772528039999,10.51100000,4590.28720000,45,9.60000000,4192.50600000
1772528040000,437.00000000,437.00000000,436.70000000,436.70000000,1772528099999,4.90300000,2141.23440000,33,0.42700000,186.52340000
1772528100000,436.60000000,436.80000000,435.60000000,436.10000000,1772528159999,48.59800000,21195.74000000,200,17.97300000,7841.65990000
1772528160000,436.10000000,436.10000000,435.70000000,435.80000000,1772528219999,5.97900000,2606.05150000,37,2.32100000,1011.86460000
1772528220000,435.90000000,436.40000000,435.90000000,436.30000000,1772528279999,17.09700000,7457.05570000,84,1.52000000,662.93330000
1772528280000,436.30000000,437.20000000,436.30000000,436.60000000,1772528339999,41.99200000,18341.77340000,162,25.09200000,10959.96740000
1772528340000,436.50000000,436.90000000,436.40000000,436.90000000,1772528399999,4.37400000,1909.43920000,48,2.68500000,1172.20990000
1772528400000,436.90000000,437.40000000,436.50000000,437.20000000,1772528459999,58.88000000,25727.21880000,189,43.72200000,19103.84200000
1772528460000,437.20000000,437.50000000,436.70000000,436.80000000,1772528519999,16.67000000,7288.14970000,109,7.33200000,3205.73000000
1772528520000,436.90000000,437.70000000,436.90000000,437.40000000,1772528579999,27.83800000,12174.70810000,136,20.38000000,8912.54480000
1772528580000,437.30000000,437.80000000,437.10000000,437.30000000,1772528639999,18.26500000,7991.44960000,119,8.48100000,3710.63480000
1772528640000,437.30000000,437.40000000,437.00000000,437.00000000,1772528699999,1.63400000,714.50280000,27,0.17900000,78.28990000
1772528700000,436.90000000,437.20000000,436.20000000,437.10000000,1772528759999,31.14500000,13606.95040000,160,7.62300000,3328.74660000
1772528760000,437.00000000,437.80000000,436.80000000,437.70000000,1772528819999,51.71100000,22607.28890000,165,15.68900000,6861.99090000
1772528820000,437.60000000,437.70000000,437.00000000,437.20000000,1772528879999,6.38300000,2791.55340000,74,1.94700000,851.47060000
1772528880000,437.20000000,438.00000000,437.20000000,437.70000000,1772528939999,5.34000000,2337.88950000,63,1.53900000,673.49850000
1772528940000,437.70000000,438.00000000,437.60000000,437.90000000,1772528999999,17.10000000,7487.07990000,55,10.87900000,4762.92720000
1772529000000,437.90000000,437.90000000,437.40000000,437.80000000,1772529059999,17.27100000,7559.78090000,83,5.10400000,2233.30220000
1772529060000,437.90000000,438.20000000,437.90000000,437.90000000,1772529119999,3.50000000,1533.43230000,26,3.21100000,1406.87090000
1772529120000,437.90000000,437.90000000,437.50000000,437.50000000,1772529179999,3.22800000,1412.93910000,37,0.48100000,210.62350000
1772529180000,437.60000000,437.70000000,437.50000000,437.70000000,1772529239999,1.10200000,482.17740000,22,0.95400000,417.42470000
1772529240000,437.70000000,437.70000000,437.50000000,437.50000000,1772529299999,4.93100000,2157.35540000,22,3.82200000,1672.15830000
1772529300000,437.40000000,438.10000000,437.30000000,438.10000000,1772529359999,6.65900000,2913.59300000,86,3.73000000,1632.08270000
1772529360000,438.10000000,438.20000000,437.50000000,437.50000000,1772529419999,1.17800000,515.92050000,57,0.24000000,105.12840000
1772529420000,437.50000000,437.80000000,437.20000000,437.70000000,1772529479999,7.03600000,3077.97210000,65,5.81500000,2543.99710000
