open_time,open,high,low,close,close_time,volume,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
1772526780000,628.81000000,629.26000000,628.80000000,629.20000000,1772526839999,167.83600000,105574.09938000,1114,61.65000000,38780.27015000
1772526840000,629.20000000,629.31000000,629.10000000,629.19000000,1772526899999,40.69600000,25605.68452000,809,21.72700000,13670.05058000
1772526900000,629.20000000,629.63000000,629.09000000,629.63000000,1772526959999,59.38200000,37363.08360000,1470,45.78800000,28808.97665000
1772526960000,629.64000000,629.88000000,629.64000000,629.73000000,1772527019999,46.31200000,29162.80788000,833,37.88700000,23856.89529000
1772527020000,629.73000000,629.82000000,629.01000000,629.18000000,1772527079999,101.44800000,63856.15840000,1303,52.44300000,33005.74657000
1772527080000,629.18000000,629.18000000,628.27000000,628.31000000,1772527139999,178.05800000,111951.26818000,1409,53.45600000,33606.74059000
1772527140000,628.31000000,628.32000000,628.00000000,628.00000000,1772527199999,190.70600000,119769.36501000,1118,35.23500000,22129.89038000
1772527200000,628.01000000,628.01000000,627.00000000,627.83000000,1772527259999,470.20300000,294999.66858000,3578,187.09600000,117367.55232000
1772527260000,627.83000000,627.83000000,626.93000000,627.06000000,1772527319999,190.32500000,119350.30417000,1928,48.56300000,30454.36405000
1772527320000,627.06000000,627.06000000,626.70000000,626.96000000,1772527379999,294.78400000,184793.74698000,1578,134.59000000,84373.79805000
1772527380000,626.97000000,627.10000000,625.00000000,625.13000000,1772527439999,1606.17300000,1005275.57371000,4272,500.81400000,313440.48232000
1772527440000,625.12000000,625.18000000,624.24000000,625.06000000,1772527499999,656.96600000,410466.79098000,4038,251.50600000,157138.83718000
1772527500000,625.05000000,625.05000000,623.94000000,624.55000000,1772527559999,916.25200000,571910.12583000,3625,139.50500000,87091.87751000
1772527560000,624.56000000,624.80000000,623.81000000,623.85000000,1772527619999,199.50400000,124531.60391000,2775,67.39800000,42072.93327000
1772527620000,623.84000000,624.54000000,623.44000000,623.61000000,1772527679999,343.18200000,214143.39698000,4273,124.54800000,77708.38059000
1772527680000,623.61000000,623.70000000,623.18000000,623.24000000,1772527739999,150.99000000,94134.34966000,1078,66.42400000,41409.65397000
1772527740000,623.24000000,623.73000000,623.16000000,623.50000000,1772527799999,279.86400000,174480.42373000,2897,109.53200000,68285.38382000
1772527800000,623.49000000,623.50000000,623.02000000,623.26000000,1772527859999,149.16300000,92974.16782000,1215,55.40600000,34532.80889000
1772527860000,623.25000000,624.33000000,623.22000000,623.75000000,1772527919999,105.18300000,65631.52273000,2233,50.95800000,31791.41660000
1772527920000,623.75000000,624.06000000,623.68000000,623.83000000,1772527979999,149.66400000,93374.19491000,2058,108.20500000,67506.44861000
1772527980000,623.82000000,624.25000000,623.76000000,624.25000000,1772528039999,66.67700000,41607.21829000,903,33.33400000,20799.15928000
1772528040000,624.26000000,624.26000000,623.63000000,623.82000000,1772528099999,62.21700000,38820.60693000,752,17.36800000,10835.91280000
1772528100000,623.82000000,623.82000000,623.00000000,623.14000000,1772528159999,381.38200000,237696.74243000,1327,114.81900000,71554.75705000
1772528160000,623.14000000,623.15000000,622.56000000,622.84000000,1772528219999,163.15700000,101621.78438000,1569,53.84500000,33531.41502000
1772528220000,622.84000000,623.54000000,622.80000000,623.54000000,1772528279999,93.79600000,58439.44001000,1650,73.27700000,45655.08619000
1772528280000,623.54000000,624.53000000,623.54000000,623.56000000,1772528339999,392.56400000,245038.33719000,1685,289.86600000,180944.16984000
1772528340000,623.56000000,624.09000000,623.38000000,623.90000000,1772528399999,232.54300000,145073.83986000,1204,106.19700000,66248.25543000
1772528400000,623.90000000,624.33000000,623.65000000,624.25000000,1772528459999,214.48500000,133800.15025000,1340,79.84000000,49818.74973000
1772528460000,624.24000000,624.60000000,623.52000000,623.84000000,1772528519999,142.58700000,88978.30650000,1338,95.21500000,59417.27709000
1772528520000,623.84000000,624.78000000,623.65000000,624.64000000,1772528579999,488.11600000,304799.77125000,1799,435.91200000,272201.50056000
1772528580000,624.65000000,624.65000000,624.19000000,624.22000000,1772528639999,166.28600000,103820.78564000,1409,53.12400000,33166.85843000
1772528640000,624.22000000,624.72000000,624.09000000,624.09000000,1772528699999,81.56100000,50924.63500000,1231,57.94500000,36180.79927000
1772528700000,624.09000000,625.17000000,623.58000000,625.17000000,1772528759999,161.52200000,100804.76008000,2023,108.44700000,67690.44568000
1772528760000,625.18000000,625.71000000,624.81000000,625.51000000,1772528819999,190.31500000,119013.89438000,1769,156.33500000,97764.48872000
1772528820000,625.51000000,625.80000000,625.32000000,625.74000000,1772528879999,194.10400000,121424.62382000,915,133.19900000,83328.54255000
1772528880000,625.75000000,626.72000000,625.74000000,626.64000000,1772528939999,198.95000000,124624.12662000,1764,135.84400000,85085.81471000
1772528940000,626.64000000,626.93000000,626.51000000,626.65000000,1772528999999,115.33300000,72283.61345000,1057,55.31500000,34667.92638000
1772529000000,626.65000000,626.65000000,625.90000000,626.43000000,1772529059999,86.48400000,54150.70570000,1503,31.12200000,19486.18144000
1772529060000,626.43000000,626.68000000,625.94000000,626.09000000,1772529119999,131.67000000,82464.73989000,1088,77.90100000,48793.44990000
1772529120000,626.09000000,626.09000000,625.56000000,625.75000000,1772529179999,164.06100000,102680.89080000,640,20.01100000,12521.79772000
