open_time,open,high,low,close
1771381620000,67255.39000000,67269.72000000,67255.38000000,67269.72000000
1771381680000,67269.72000000,67269.72000000,67248.09000000,67248.09000000
1771381740000,67248.09000000,67258.95000000,67220.00000000,67220.00000000
1771381800000,67220.01000000,67243.84000000,67220.01000000,67243.83000000
1771381860000,67243.83000000,67249.84000000,67213.08000000,67249.84000000
1771381920000,67249.84000000,67272.39000000,67246.10000000,67259.90000000
1771381980000,67259.90000000,67351.90000000,67259.90000000,67351.89000000
1771382040000,67351.89000000,67351.90000000,67342.00000000,67343.13000000
1771382100000,67343.13000000,67417.15000000,67343.13000000,67398.36000000
1771382160000,67398.36000000,67417.81000000,67375.78000000,67417.33000000
1771382220000,67417.33000000,67421.99000000,67359.55000000,67359.55000000
1771382280000,67359.55000000,67390.01000000,67359.54000000,67377.27000000
1771382340000,67377.28000000,67393.99000000,67376.93000000,67376.93000000
1771382400000,67376.93000000,67394.81000000,67359.55000000,67384.09000000
1771382460000,67384.09000000,67384.09000000,67369.85000000,67370.75000000
1771382520000,67370.75000000,67370.75000000,67370.74000000,67370.74000000
1771382580000,67370.74000000,67379.38000000,67370.74000000,67373.85000000
1771382640000,67373.84000000,67374.80000000,67366.19000000,67366.19000000
1771382700000,67366.19000000,67373.85000000,67360.00000000,67360.07000000
1771382760000,67360.08000000,67366.05000000,67332.00000000,67346.86000000
1771382820000,67346.85000000,67353.25000000,67268.48000000,67288.00000000
1771382880000,67288.00000000,67296.40000000,67283.68000000,67285.19000000
1771382940000,67285.19000000,67300.51000000,67285.19000000,67297.97000000
1771383000000,67297.96000000,67317.34000000,67290.30000000,67305.93000000
1771383060000,67305.92000000,67324.20000000,67299.83000000,67324.19000000
1771383120000,67324.20000000,67373.82000000,67324.19000000,67360.53000000
1771383180000,67360.53000000,67361.25000000,67312.58000000,67312.59000000
1771383240000,67312.59000000,67344.00000000,67312.58000000,67344.00000000
1771383300000,67344.00000000,67344.00000000,67326.88000000,67326.89000000
1771383360000,67326.88000000,67357.98000000,67326.88000000,67357.98000000
1771383420000,67357.98000000,67357.98000000,67326.69000000,67335.00000000
1771383480000,67335.00000000,67344.44000000,67330.79000000,67344.43000000
1771383540000,67344.44000000,67344.44000000,67326.73000000,67335.04000000
1771383600000,67335.04000000,67354.73000000,67326.98000000,67342.96000000
1771383660000,67342.96000000,67391.62000000,67342.96000000,67391.62000000
1771383720000,67391.62000000,67418.13000000,67385.03000000,67387.29000000
1771383780000,67387.29000000,67409.35000000,67380.31000000,67409.34000000
1771383840000,67409.35000000,67470.82000000,67409.35000000,67465.47000000
1771383900000,67465.47000000,67466.00000000,67437.60000000,67437.60000000
1771383960000,67437.61000000,67442.74000000,67414.58000000,67414.58000000
1771384020000,67414.58000000,67414.59000000,67386.42000000,67403.08000000
1771384080000,67403.07000000,67436.01000000,67398.18000000,67400.11000000
1771384140000,67400.11000000,67400.78000000,67393.40000000,67400.78000000
1771384200000,67400.78000000,67400.78000000,67354.35000000,67384.92000000
1771384260000,67384.92000000,67387.07000000,67363.99000000,67375.64000000
1771384320000,67375.65000000,67403.63000000,67375.64000000,67403.62000000
1771384380000,67403.63000000,67417.41000000,67402.80000000,67402.80000000
1771384440000,67402.80000000,67416.30000000,67393.40000000,67416.30000000
1771384500000,67416.30000000,67428.00000000,67408.78000000,67427.99000000
1771384560000,67428.00000000,67470.00000000,67427.99000000,67469.99000000
1771384620000,67469.99000000,67469.99000000,67460.16000000,67469.75000000
1771384680000,67469.75000000,67469.75000000,67440.87000000,67442.95000000
1771384740000,67442.94000000,67459.74000000,67428.00000000,67456.26000000
1771384800000,67456.26000000,67456.27000000,67445.08000000,67452.81000000
1771384860000,67452.81000000,67452.81000000,67434.23000000,67440.70000000
1771384920000,67440.70000000,67471.69000000,67440.69000000,67471.69000000
1771384980000,67471.68000000,67475.02000000,67471.68000000,67475.02000000
1771385040000,67475.02000000,67500.00000000,67475.01000000,67499.99000000
1771385100000,67500.00000000,67500.00000000,67486.00000000,67486.55000000
1771385160000,67486.56000000,67509.30000000,67471.82000000,67509.29000000
1771385220000,67509.30000000,67543.75000000,67506.00000000,67528.00000000
1771385280000,67527.99000000,67557.01000000,67527.99000000,67547.56000000
1771385340000,67547.55000000,67547.56000000,67534.43000000,67539.43000000
1771385400000,67539.44000000,67550.00000000,67534.43000000,67550.00000000
1771385460000,67550.00000000,67571.69000000,67543.99000000,67556.23000000
1771385520000,67556.24000000,67606.91000000,67514.53000000,67594.12000000
1771385580000,67594.12000000,67603.06000000,67565.86000000,67603.06000000
1771385640000,67603.06000000,67606.00000000,67591.45000000,67592.26000000
1771385700000,67592.26000000,67592.27000000,67577.21000000,67592.27000000
1771385760000,67592.27000000,67647.05000000,67592.26000000,67640.06000000
1771385820000,67640.05000000,67650.00000000,67628.01000000,67650.00000000
1771385880000,67650.00000000,67650.00000000,67611.62000000,67611.63000000
1771385940000,67611.63000000,67615.00000000,67593.83000000,67593.84000000
1771386000000,67593.83000000,67593.84000000,67576.61000000,67592.90000000
1771386060000,67592.90000000,67600.03000000,67587.47000000,67600.03000000
1771386120000,67600.03000000,67609.15000000,67587.95000000,67609.14000000
1771386180000,67609.14000000,67627.00000000,67609.14000000,67626.99000000
1771386240000,67626.99000000,67641.12000000,67626.99000000,67632.74000000
1771386300000,67632.73000000,67664.61000000,67621.89000000,67642.67000000
1771386360000,67642.67000000,67642.67000000,67629.64000000,67629.65000000
1771386420000,67629.64000000,67629.64000000,67580.63000000,67588.17000000
1771386480000,67588.17000000,67614.45000000,67588.17000000,67606.90000000
1771386540000,67606.91000000,67644.22000000,67599.60000000,67644.21000000
1771386600000,67644.21000000,67644.21000000,67637.36000000,67643.66000000
1771386660000,67643.65000000,67643.66000000,67632.00000000,67643.00000000
1771386720000,67643.00000000,67666.00000000,67643.00000000,67646.05000000
1771386780000,67646.06000000,67654.75000000,67646.05000000,67654.75000000
1771386840000,67654.75000000,67666.66000000,67631.45000000,67631.45000000
1771386900000,67631.46000000,67659.37000000,67631.46000000,67659.37000000
1771386960000,67659.37000000,67702.80000000,67659.36000000,67668.61000000
1771387020000,67668.62000000,67669.53000000,67650.01000000,67669.53000000
1771387080000,67669.52000000,67705.65000000,67661.07000000,67676.72000000
1771387140000,67676.72000000,67676.73000000,67629.10000000,67629.11000000
1771387200000,67629.10000000,67648.57000000,67629.10000000,67629.11000000
1771387260000,67629.10000000,67632.65000000,67566.95000000,67581.78000000
1771387320000,67581.77000000,67581.78000000,67556.98000000,67573.05000000
1771387380000,67573.06000000,67574.82000000,67556.00000000,67565.82000000
1771387440000,67565.82000000,67565.83000000,67500.10000000,67507.97000000
1771387500000,67507.98000000,67543.68000000,67507.97000000,67527.38000000
1771387560000,67527.38000000,67530.30000000,67500.62000000,67501.79000000
1771387620000,67501.79000000,67525.31000000,67501.79000000,67519.99000000
1771387680000,67520.00000000,67540.00000000,67519.99000000,67539.98000000
1771387740000,67539.98000000,67595.84000000,67539.98000000,67595.81000000
1771387800000,67595.80000000,67689.96000000,67594.15000000,67689.95000000
1771387860000,67689.96000000,67718.75000000,67667.57000000,67689.50000000
1771387920000,67689.51000000,67689.51000000,67612.19000000,67612.20000000
1771387980000,67612.19000000,67612.20000000,67552.49000000,67552.50000000
1771388040000,67552.49000000,67562.23000000,67547.31000000,67562.22000000
1771388100000,67562.22000000,67586.82000000,67556.00000000,67586.81000000
1771388160000,67586.82000000,67586.82000000,67574.91000000,67585.73000000
1771388220000,67585.74000000,67599.86000000,67579.75000000,67599.37000000
1771388280000,67599.37000000,67626.81000000,67599.37000000,67622.80000000
1771388340000,67622.80000000,67674.55000000,67622.80000000,67666.50000000
1771388400000,67666.51000000,67674.55000000,67665.06000000,67674.55000000
1771388460000,67674.55000000,67674.55000000,67674.54000000,67674.54000000
1771388520000,67674.54000000,67674.54000000,67616.00000000,67616.00000000
1771388580000,67615.24000000,67627.41000000,67600.00000000,67625.99000000
1771388640000,67626.00000000,67660.02000000,67625.99000000,67660.02000000
1771388700000,67660.01000000,67660.02000000,67632.55000000,67632.56000000
1771388760000,67632.55000000,67645.71000000,67632.55000000,67645.70000000
1771388820000,67645.71000000,67664.32000000,67645.70000000,67664.32000000
1771388880000,67664.31000000,67667.00000000,67650.59000000,67666.99000000
1771388940000,67666.99000000,67674.00000000,67666.99000000,67674.00000000
1771389000000,67674.00000000,67699.34000000,67670.92000000,67695.73000000
1771389060000,67695.73000000,67718.70000000,67695.73000000,67702.71000000
1771389120000,67702.71000000,67718.00000000,67700.00000000,67701.77000000
1771389180000,67701.76000000,67729.23000000,67701.76000000,67724.81000000
1771389240000,67724.80000000,67754.99000000,67713.54000000,67735.99000000
1771389300000,67736.00000000,67736.00000000,67735.99000000,67736.00000000
1771389360000,67735.99000000,67735.99000000,67702.70000000,67702.71000000
1771389420000,67702.71000000,67702.71000000,67632.01000000,67702.60000000
1771389480000,67702.60000000,67721.33000000,67702.60000000,67721.33000000
1771389540000,67721.32000000,67734.47000000,67714.93000000,67714.94000000
1771389600000,67714.94000000,67727.00000000,67714.94000000,67720.77000000
1771389660000,67720.78000000,67720.78000000,67702.70000000,67704.54000000
1771389720000,67704.54000000,67709.00000000,67702.70000000,67708.99000000
1771389780000,67708.99000000,67709.00000000,67691.14000000,67691.15000000
1771389840000,67691.15000000,67706.54000000,67691.14000000,67694.50000000
1771389900000,67694.50000000,67700.91000000,67694.41000000,67699.05000000
1771389960000,67699.04000000,67699.05000000,67659.60000000,67685.00000000
1771390020000,67685.00000000,67689.75000000,67685.00000000,67689.71000000
1771390080000,67689.71000000,67722.66000000,67689.70000000,67722.66000000
1771390140000,67722.66000000,67735.43000000,67722.65000000,67729.74000000
1771390200000,67729.74000000,67760.81000000,67729.74000000,67755.53000000
1771390260000,67755.54000000,67760.29000000,67750.70000000,67750.70000000
1771390320000,67750.70000000,67750.71000000,67734.76000000,67734.76000000
1771390380000,67734.76000000,67750.64000000,67734.76000000,67750.63000000
1771390440000,67750.64000000,67900.00000000,67750.64000000,67844.96000000
1771390500000,67844.96000000,67864.30000000,67824.60000000,67864.29000000
1771390560000,67864.30000000,67864.30000000,67834.46000000,67834.47000000
1771390620000,67834.47000000,67834.47000000,67818.00000000,67822.39000000
1771390680000,67822.40000000,67822.40000000,67805.80000000,67805.80000000
1771390740000,67805.81000000,67823.55000000,67805.80000000,67823.54000000
1771390800000,67823.55000000,67826.00000000,67800.08000000,67800.13000000
1771390860000,67800.13000000,67825.66000000,67800.13000000,67809.42000000
1771390920000,67809.42000000,67814.62000000,67808.34000000,67808.35000000
1771390980000,67808.35000000,67810.05000000,67768.40000000,67771.53000000
1771391040000,67771.53000000,67788.64000000,67752.76000000,67772.30000000
1771391100000,67772.30000000,67772.30000000,67748.78000000,67770.20000000
1771391160000,67770.20000000,67770.21000000,67757.67000000,67767.81000000
1771391220000,67767.81000000,67800.00000000,67767.80000000,67800.00000000
1771391280000,67800.00000000,67800.00000000,67761.62000000,67761.64000000
1771391340000,67761.63000000,67771.55000000,67752.14000000,67768.41000000
1771391400000,67768.41000000,67793.29000000,67768.41000000,67793.28000000
1771391460000,67793.29000000,67793.29000000,67778.00000000,67778.00000000
1771391520000,67778.00000000,67801.94000000,67778.00000000,67801.93000000
1771391580000,67801.93000000,67896.17000000,67801.93000000,67888.00000000
1771391640000,67888.00000000,67890.05000000,67875.40000000,67880.01000000
1771391700000,67880.00000000,67909.10000000,67880.00000000,67909.09000000
1771391760000,67909.09000000,67909.09000000,67898.57000000,67903.33000000
1771391820000,67903.33000000,67903.33000000,67879.28000000,67879.28000000
1771391880000,67879.28000000,67886.48000000,67859.81000000,67881.71000000
1771391940000,67881.72000000,67926.00000000,67881.71000000,67919.82000000
1771392000000,67919.82000000,67926.44000000,67899.60000000,67916.89000000
1771392060000,67916.89000000,67938.00000000,67865.91000000,67865.91000000
1771392120000,67865.92000000,67865.92000000,67840.08000000,67851.43000000
1771392180000,67851.43000000,67873.98000000,67851.43000000,67873.97000000
1771392240000,67873.98000000,67917.71000000,67873.97000000,67915.48000000
1771392300000,67915.48000000,67924.97000000,67903.15000000,67909.00000000
1771392360000,67909.00000000,67909.00000000,67882.70000000,67896.00000000
1771392420000,67895.99000000,67896.00000000,67886.00000000,67886.00000000
1771392480000,67886.00000000,67886.00000000,67820.60000000,67820.60000000
1771392540000,67820.61000000,67822.31000000,67702.70000000,67723.62000000
1771392600000,67723.62000000,67738.78000000,67710.27000000,67732.69000000
1771392660000,67732.69000000,67760.81000000,67732.69000000,67760.80000000
1771392720000,67760.81000000,67760.81000000,67704.22000000,67705.74000000
1771392780000,67705.74000000,67716.48000000,67689.03000000,67697.86000000
1771392840000,67697.86000000,67708.51000000,67680.94000000,67708.51000000
1771392900000,67708.50000000,67717.71000000,67708.21000000,67709.00000000
1771392960000,67709.01000000,67733.34000000,67709.00000000,67729.65000000
1771393020000,67729.65000000,67740.75000000,67714.40000000,67714.41000000
1771393080000,67714.40000000,67728.00000000,67714.40000000,67728.00000000
1771393140000,67728.00000000,67736.36000000,67717.51000000,67720.88000000
1771393200000,67720.88000000,67725.96000000,67688.41000000,67688.41000000
1771393260000,67688.41000000,67688.42000000,67648.03000000,67654.33000000
1771393320000,67654.33000000,67654.33000000,67624.23000000,67624.23000000
1771393380000,67624.23000000,67631.40000000,67617.18000000,67631.39000000
1771393440000,67631.40000000,67657.78000000,67631.39000000,67649.53000000
1771393500000,67649.53000000,67649.53000000,67608.89000000,67613.10000000
1771393560000,67613.11000000,67662.00000000,67606.45000000,67661.99000000
1771393620000,67661.99000000,67705.18000000,67661.99000000,67680.69000000
1771393680000,67680.69000000,67730.00000000,67680.69000000,67730.00000000
1771393740000,67730.00000000,67730.00000000,67716.05000000,67719.38000000
1771393800000,67719.38000000,67719.38000000,67659.67000000,67673.19000000
1771393860000,67673.19000000,67683.56000000,67673.19000000,67683.56000000
1771393920000,67683.56000000,67694.79000000,67683.55000000,67692.71000000
1771393980000,67692.71000000,67692.72000000,67662.40000000,67662.40000000
1771394040000,67662.40000000,67669.59000000,67660.00000000,67669.04000000
1771394100000,67669.05000000,67669.05000000,67640.00000000,67640.00000000
1771394160000,67640.01000000,67640.01000000,67630.00000000,67630.00000000
1771394220000,67630.00000000,67649.60000000,67630.00000000,67647.82000000
1771394280000,67647.83000000,67681.75000000,67647.82000000,67652.36000000
1771394340000,67652.36000000,67656.50000000,67639.60000000,67654.80000000
1771394400000,67654.81000000,67655.96000000,67648.64000000,67648.65000000
1771394460000,67648.65000000,67648.65000000,67614.91000000,67630.32000000
1771394520000,67630.32000000,67648.08000000,67630.31000000,67637.37000000
1771394580000,67637.38000000,67648.58000000,67637.38000000,67648.57000000
1771394640000,67648.58000000,67663.32000000,67648.57000000,67663.32000000
1771394700000,67663.32000000,67692.44000000,67655.82000000,67692.44000000
1771394760000,67692.44000000,67703.11000000,67688.79000000,67703.11000000
1771394820000,67703.11000000,67730.00000000,67703.10000000,67709.35000000
1771394880000,67709.35000000,67728.74000000,67709.35000000,67728.00000000
1771394940000,67727.99000000,67728.00000000,67704.00000000,67710.65000000
1771395000000,67710.64000000,67753.55000000,67710.64000000,67740.87000000
1771395060000,67740.87000000,67754.05000000,67740.87000000,67753.58000000
1771395120000,67753.58000000,67753.58000000,67753.57000000,67753.58000000
1771395180000,67753.58000000,67780.00000000,67753.57000000,67779.99000000
1771395240000,67780.00000000,67801.66000000,67757.43000000,67801.66000000
1771395300000,67801.66000000,67807.44000000,67783.98000000,67791.67000000
1771395360000,67791.08000000,67799.99000000,67779.46000000,67788.92000000
1771395420000,67788.92000000,67795.91000000,67780.96000000,67780.96000000
1771395480000,67780.97000000,67780.97000000,67755.42000000,67755.43000000
1771395540000,67755.43000000,67755.43000000,67755.42000000,67755.43000000
1771395600000,67755.42000000,67755.43000000,67755.42000000,67755.42000000
1771395660000,67755.42000000,67762.20000000,67753.57000000,67762.20000000
1771395720000,67762.20000000,67770.00000000,67762.19000000,67769.99000000
1771395780000,67770.00000000,67820.70000000,67743.86000000,67807.91000000
