open_time,open,high,low,close
1772418480000,66237.99000000,66251.60000000,66188.00000000,66205.53000000
1772418540000,66205.53000000,66225.00000000,66190.38000000,66193.28000000
1772418600000,66193.29000000,66213.05000000,66162.90000000,66195.53000000
1772418660000,66195.54000000,66233.29000000,66195.54000000,66210.84000000
1772418720000,66210.83000000,66284.87000000,66180.21000000,66284.86000000
1772418780000,66284.87000000,66380.94000000,66258.87000000,66374.99000000
1772418840000,66374.99000000,66384.72000000,66330.13000000,66335.17000000
1772418900000,66335.18000000,66358.63000000,66312.85000000,66329.06000000
1772418960000,66329.05000000,66363.76000000,66326.00000000,66342.07000000
1772419020000,66342.07000000,66368.80000000,66342.07000000,66364.46000000
1772419080000,66364.46000000,66442.57000000,66364.46000000,66442.40000000
1772419140000,66442.40000000,66455.92000000,66395.19000000,66404.49000000
1772419200000,66404.50000000,66418.62000000,66363.63000000,66363.64000000
1772419260000,66363.63000000,66363.64000000,66318.03000000,66325.55000000
1772419320000,66325.54000000,66325.54000000,66286.17000000,66302.01000000
1772419380000,66302.01000000,66311.25000000,66287.11000000,66304.86000000
1772419440000,66304.86000000,66324.53000000,66304.86000000,66322.47000000
1772419500000,66322.47000000,66322.47000000,66290.99000000,66298.97000000
1772419560000,66298.97000000,66311.40000000,66285.75000000,66311.40000000
1772419620000,66311.40000000,66352.55000000,66305.64000000,66342.02000000
1772419680000,66342.02000000,66398.39000000,66337.03000000,66375.61000000
1772419740000,66375.60000000,66375.61000000,66228.00000000,66236.27000000
1772419800000,66236.27000000,66269.66000000,66225.66000000,66251.49000000
1772419860000,66251.49000000,66318.00000000,66251.48000000,66312.00000000
1772419920000,66312.15000000,66317.78000000,66228.84000000,66280.00000000
1772419980000,66280.00000000,66301.98000000,66263.18000000,66273.70000000
1772420040000,66273.71000000,66273.71000000,66245.28000000,66253.64000000
1772420100000,66253.65000000,66290.41000000,66253.64000000,66290.41000000
1772420160000,66291.19000000,66363.26000000,66291.19000000,66362.48000000
1772420220000,66362.49000000,66364.26000000,66333.57000000,66339.73000000
