open_time,open,high,low,close
1771901040000,64132.22000000,64150.00000000,64115.29000000,64132.43000000
1771901100000,64132.42000000,64132.43000000,64087.20000000,64126.40000000
1771901160000,64126.39000000,64176.42000000,64121.22000000,64139.48000000
1771901220000,64139.48000000,64180.53000000,64132.65000000,64143.71000000
1771901280000,64143.71000000,64176.71000000,64129.93000000,64162.20000000
1771901340000,64162.19000000,64173.89000000,64159.99000000,64167.51000000
1771901400000,64167.50000000,64167.51000000,64131.45000000,64140.40000000
1771901460000,64140.40000000,64163.02000000,64136.50000000,64151.49000000
1771901520000,64151.50000000,64155.03000000,64098.05000000,64139.04000000
1771901580000,64139.03000000,64139.04000000,64078.59000000,64089.00000000
1771901640000,64089.00000000,64100.00000000,64079.87000000,64099.99000000
1771901700000,64099.99000000,64180.88000000,64083.50000000,64143.01000000
1771901760000,64143.01000000,64143.01000000,64113.77000000,64116.90000000
1771901820000,64116.90000000,64169.96000000,64109.80000000,64123.36000000
1771901880000,64123.36000000,64133.11000000,64111.29000000,64119.41000000
1771901940000,64119.41000000,64130.00000000,64109.81000000,64109.81000000
1771902000000,64109.80000000,64109.80000000,64016.12000000,64081.23000000
1771902060000,64081.23000000,64081.23000000,63948.89000000,63948.90000000
1771902120000,63948.90000000,63948.90000000,63856.00000000,63891.39000000
1771902180000,63891.39000000,63891.39000000,63604.43000000,63702.63000000
1771902240000,63702.63000000,63859.52000000,63697.45000000,63859.52000000
1771902300000,63859.53000000,63882.00000000,63720.00000000,63720.01000000
1771902360000,63720.01000000,63771.37000000,63662.19000000,63754.02000000
1771902420000,63754.02000000,63880.21000000,63754.01000000,63868.45000000
1771902480000,63868.45000000,63868.45000000,63760.09000000,63860.80000000
1771902540000,63860.80000000,63860.80000000,63777.58000000,63783.90000000
1771902600000,63783.91000000,63853.60000000,63783.90000000,63800.01000000
1771902660000,63800.01000000,63827.21000000,63683.94000000,63685.44000000
1771902720000,63685.44000000,63771.60000000,63685.43000000,63756.79000000
1771902780000,63756.79000000,63759.70000000,63696.70000000,63701.01000000
1771902840000,63701.01000000,63701.01000000,63558.15000000,63685.23000000
1771902900000,63685.23000000,63699.99000000,63576.74000000,63616.00000000
1771902960000,63616.01000000,63796.64000000,63587.00000000,63726.18000000
1771903020000,63726.17000000,63805.38000000,63686.59000000,63769.69000000
1771903080000,63769.69000000,63794.11000000,63694.66000000,63773.18000000
