open_time,open,high,low,close
1771301040000,68513.01000000,68519.96000000,68506.82000000,68518.25000000
1771301100000,68518.25000000,68518.25000000,68512.14000000,68512.14000000
1771301160000,68512.14000000,68521.75000000,68502.00000000,68502.00000000
1771301220000,68502.01000000,68502.01000000,68400.00000000,68407.32000000
1771301280000,68407.32000000,68453.65000000,68392.96000000,68453.65000000
1771301340000,68453.65000000,68493.95000000,68453.64000000,68493.95000000
1771301400000,68493.94000000,68570.62000000,68493.94000000,68558.99000000
1771301460000,68559.00000000,68601.13000000,68558.99000000,68601.13000000
1771301520000,68601.12000000,68621.12000000,68591.00000000,68620.03000000
1771301580000,68620.03000000,68620.03000000,68576.34000000,68576.34000000
1771301640000,68576.35000000,68594.33000000,68576.35000000,68588.01000000
1771301700000,68588.01000000,68588.01000000,68502.10000000,68510.11000000
1771301760000,68510.10000000,68515.58000000,68497.04000000,68499.80000000
1771301820000,68499.79000000,68499.80000000,68486.08000000,68486.08000000
1771301880000,68486.09000000,68534.13000000,68486.08000000,68534.12000000
1771301940000,68534.12000000,68568.40000000,68534.12000000,68568.39000000
1771302000000,68568.40000000,68668.53000000,68568.39000000,68668.52000000
1771302060000,68668.53000000,68668.53000000,68636.00000000,68641.90000000
1771302120000,68641.90000000,68649.40000000,68634.00000000,68641.36000000
1771302180000,68641.36000000,68684.52000000,68641.35000000,68666.30000000
1771302240000,68666.30000000,68707.49000000,68652.52000000,68682.71000000
1771302300000,68682.71000000,68682.71000000,68627.35000000,68627.35000000
1771302360000,68627.35000000,68631.50000000,68601.67000000,68601.67000000
1771302420000,68601.68000000,68601.68000000,68592.94000000,68594.95000000
1771302480000,68594.95000000,68605.67000000,68594.95000000,68594.96000000
1771302540000,68594.95000000,68608.00000000,68594.95000000,68603.95000000
1771302600000,68603.95000000,68603.95000000,68519.88000000,68519.89000000
1771302660000,68519.88000000,68519.89000000,68430.00000000,68430.01000000
1771302720000,68430.00000000,68430.01000000,68288.00000000,68288.01000000
1771302780000,68288.01000000,68328.26000000,68288.01000000,68328.11000000
1771302840000,68328.11000000,68377.69000000,68310.18000000,68372.80000000
1771302900000,68372.80000000,68431.68000000,68372.80000000,68408.21000000
1771302960000,68408.21000000,68420.41000000,68391.00000000,68391.00000000
1771303020000,68391.00000000,68411.45000000,68382.45000000,68395.11000000
1771303080000,68395.11000000,68424.54000000,68395.10000000,68424.54000000
1771303140000,68424.53000000,68446.12000000,68424.53000000,68430.79000000
1771303200000,68430.79000000,68450.00000000,68430.78000000,68449.99000000
1771303260000,68449.99000000,68450.00000000,68424.60000000,68434.14000000
1771303320000,68434.15000000,68445.75000000,68433.60000000,68433.60000000
1771303380000,68433.60000000,68440.97000000,68404.00000000,68440.97000000
1771303440000,68440.97000000,68440.97000000,68424.60000000,68428.32000000
1771303500000,68428.33000000,68430.90000000,68428.32000000,68430.90000000
1771303560000,68430.89000000,68437.55000000,68412.33000000,68420.55000000
1771303620000,68420.55000000,68490.39000000,68420.55000000,68490.38000000
1771303680000,68490.39000000,68499.60000000,68475.65000000,68475.65000000
1771303740000,68475.66000000,68488.39000000,68468.95000000,68471.57000000
1771303800000,68471.57000000,68471.58000000,68442.00000000,68448.91000000
1771303860000,68448.90000000,68448.91000000,68424.60000000,68424.60000000
1771303920000,68424.60000000,68459.86000000,68424.60000000,68424.61000000
1771303980000,68424.60000000,68437.71000000,68424.60000000,68435.00000000
1771304040000,68435.00000000,68437.71000000,68416.40000000,68416.40000000
1771304100000,68416.40000000,68416.41000000,68390.00000000,68390.00000000
1771304160000,68390.01000000,68428.71000000,68390.00000000,68424.60000000
1771304220000,68424.61000000,68437.71000000,68422.02000000,68425.99000000
1771304280000,68426.00000000,68462.35000000,68425.99000000,68458.19000000
1771304340000,68458.19000000,68481.68000000,68458.18000000,68481.67000000
1771304400000,68481.68000000,68493.00000000,68481.67000000,68482.77000000
1771304460000,68482.77000000,68482.77000000,68445.31000000,68467.89000000
1771304520000,68467.89000000,68509.99000000,68467.89000000,68504.88000000
1771304580000,68504.88000000,68510.76000000,68490.80000000,68490.81000000
1771304640000,68490.81000000,68507.60000000,68474.75000000,68501.99000000
1771304700000,68502.00000000,68505.19000000,68486.59000000,68486.59000000
1771304760000,68486.60000000,68486.60000000,68467.62000000,68478.68000000
1771304820000,68478.68000000,68484.23000000,68468.08000000,68468.08000000
1771304880000,68468.08000000,68480.66000000,68395.11000000,68408.20000000
1771304940000,68408.20000000,68408.21000000,68378.00000000,68404.00000000
1771305000000,68403.99000000,68456.87000000,68403.97000000,68443.23000000
1771305060000,68443.24000000,68443.24000000,68435.95000000,68435.95000000
1771305120000,68435.96000000,68440.00000000,68394.94000000,68394.94000000
1771305180000,68394.00000000,68410.64000000,68386.48000000,68389.14000000
1771305240000,68389.14000000,68389.14000000,68333.31000000,68346.01000000
1771305300000,68346.00000000,68357.35000000,68323.38000000,68350.29000000
1771305360000,68350.29000000,68357.35000000,68286.77000000,68309.27000000
1771305420000,68309.27000000,68321.33000000,68286.77000000,68293.81000000
1771305480000,68293.82000000,68328.88000000,68293.82000000,68296.41000000
1771305540000,68296.41000000,68314.87000000,68162.83000000,68198.61000000
1771305600000,68198.61000000,68209.24000000,68134.06000000,68168.00000000
1771305660000,68167.99000000,68216.41000000,68156.45000000,68194.78000000
1771305720000,68194.79000000,68208.25000000,68185.00000000,68208.25000000
1771305780000,68208.25000000,68208.25000000,67940.00000000,67964.78000000
1771305840000,67964.77000000,68025.32000000,67964.77000000,68019.88000000
1771305900000,68019.89000000,68019.89000000,67990.74000000,68005.29000000
1771305960000,68005.29000000,68056.16000000,68005.28000000,68034.60000000
1771306020000,68034.59000000,68081.00000000,68031.45000000,68081.00000000
1771306080000,68080.99000000,68115.30000000,68063.35000000,68063.36000000
1771306140000,68063.36000000,68077.64000000,68045.42000000,68052.01000000
1771306200000,68052.00000000,68077.21000000,68034.66000000,68074.78000000
1771306260000,68074.78000000,68084.00000000,68029.15000000,68034.07000000
1771306320000,68034.06000000,68034.06000000,67951.20000000,67968.53000000
1771306380000,67968.53000000,67982.30000000,67940.13000000,67960.86000000
1771306440000,67960.86000000,68039.00000000,67960.86000000,68027.20000000
1771306500000,68030.00000000,68036.95000000,67916.35000000,67920.72000000
1771306560000,67920.72000000,67964.00000000,67892.00000000,67963.99000000
1771306620000,67963.99000000,68033.23000000,67963.99000000,68033.01000000
1771306680000,68033.01000000,68068.79000000,68001.54000000,68065.06000000
1771306740000,68065.05000000,68074.30000000,68065.05000000,68065.05000000
1771306800000,68065.06000000,68074.07000000,68041.03000000,68074.07000000
1771306860000,68074.07000000,68196.75000000,68074.06000000,68169.94000000
1771306920000,68169.95000000,68194.80000000,68164.51000000,68172.42000000
1771306980000,68172.42000000,68174.79000000,68162.83000000,68174.78000000
1771307040000,68174.79000000,68188.00000000,68164.64000000,68164.65000000
1771307100000,68164.65000000,68192.08000000,68135.82000000,68140.73000000
1771307160000,68140.73000000,68162.32000000,68127.15000000,68148.49000000
1771307220000,68148.50000000,68161.95000000,68115.20000000,68161.94000000
1771307280000,68161.95000000,68225.40000000,68156.50000000,68217.99000000
1771307340000,68217.99000000,68233.78000000,68204.32000000,68205.08000000
1771307400000,68205.07000000,68226.89000000,68182.97000000,68226.89000000
1771307460000,68226.89000000,68226.89000000,68171.52000000,68197.72000000
1771307520000,68197.71000000,68234.19000000,68197.71000000,68223.31000000
1771307580000,68223.31000000,68258.70000000,68223.30000000,68250.26000000
1771307640000,68250.25000000,68250.26000000,68222.11000000,68222.11000000
1771307700000,68222.11000000,68227.19000000,68203.60000000,68227.19000000
1771307760000,68227.19000000,68260.64000000,68218.30000000,68250.01000000
