open_time,open,high,low,close
1771390500000,67844.96000000,67864.30000000,67805.80000000,67823.54000000
1771390800000,67823.55000000,67826.00000000,67752.76000000,67772.30000000
1771391100000,67772.30000000,67800.00000000,67748.78000000,67768.41000000
1771391400000,67768.41000000,67896.17000000,67768.41000000,67880.01000000
1771391700000,67880.00000000,67926.00000000,67859.81000000,67919.82000000
1771392000000,67919.82000000,67938.00000000,67840.08000000,67915.48000000
1771392300000,67915.48000000,67924.97000000,67702.70000000,67723.62000000
1771392600000,67723.62000000,67760.81000000,67680.94000000,67708.51000000
1771392900000,67708.50000000,67740.75000000,67708.21000000,67720.88000000
1771393200000,67720.88000000,67725.96000000,67617.18000000,67649.53000000
1771393500000,67649.53000000,67730.00000000,67606.45000000,67719.38000000
1771393800000,67719.38000000,67719.38000000,67659.67000000,67669.04000000
1771394100000,67669.05000000,67681.75000000,67630.00000000,67654.80000000
1771394400000,67654.81000000,67663.32000000,67614.91000000,67663.32000000
1771394700000,67663.32000000,67730.00000000,67655.82000000,67710.65000000
1771395000000,67710.64000000,67801.66000000,67710.64000000,67801.66000000
1771395300000,67801.66000000,67807.44000000,67755.42000000,67755.43000000
1771395600000,67755.42000000,67875.32000000,67743.86000000,67874.88000000
1771395900000,67874.88000000,67900.00000000,67860.00000000,67869.16000000
1771396200000,67869.15000000,67869.17000000,67830.00000000,67842.95000000
1771396500000,67842.95000000,67919.74000000,67830.01000000,67864.00000000
1771396800000,67864.00000000,67948.77000000,67863.99000000,67912.55000000
1771397100000,67912.55000000,67976.51000000,67902.63000000,67923.72000000
1771397400000,67923.72000000,67929.71000000,67839.65000000,67844.76000000
1771397700000,67844.76000000,67857.93000000,67822.67000000,67850.52000000
1771398000000,67850.53000000,67883.79000000,67844.94000000,67862.13000000
1771398300000,67862.14000000,67875.94000000,67798.34000000,67820.10000000
1771398600000,67820.10000000,67830.23000000,67750.45000000,67758.66000000
1771398900000,67758.66000000,67783.92000000,67748.42000000,67753.40000000
1771399200000,67753.40000000,67781.33000000,67702.70000000,67702.71000000
1771399500000,67702.71000000,67758.54000000,67702.70000000,67751.14000000
1771399800000,67751.15000000,67800.00000000,67751.14000000,67782.74000000
1771400100000,67782.74000000,67959.45000000,67770.00000000,67959.44000000
1771400400000,67959.45000000,68103.90000000,67950.96000000,68074.00000000
1771400700000,68074.00000000,68219.81000000,68026.00000000,68180.00000000
1771401000000,68180.00000000,68185.40000000,68142.11000000,68165.41000000
