open_time,open,high,low,close
1771390380000,1996.09000000,1996.79000000,1995.90000000,1996.79000000
1771390440000,1996.80000000,2000.80000000,1996.65000000,1999.69000000
1771390500000,1999.69000000,1999.88000000,1998.78000000,1999.88000000
1771390560000,1999.88000000,1999.88000000,1999.03000000,1999.04000000
1771390620000,1999.04000000,1999.64000000,1998.56000000,1998.80000000
1771390680000,1998.79000000,1999.02000000,1998.21000000,1998.33000000
1771390740000,1998.34000000,1999.15000000,1998.34000000,1999.15000000
1771390800000,1999.18000000,1999.37000000,1998.34000000,1998.46000000
1771390860000,1998.46000000,1999.76000000,1998.45000000,1999.17000000
1771390920000,1999.17000000,1999.75000000,1998.84000000,1999.49000000
1771390980000,1999.49000000,1999.73000000,1998.44000000,1998.78000000
1771391040000,1998.78000000,1998.90000000,1997.12000000,1997.87000000
1771391100000,1997.87000000,1997.87000000,1997.38000000,1997.85000000
1771391160000,1997.84000000,1998.54000000,1997.48000000,1998.54000000
1771391220000,1998.54000000,1999.47000000,1998.53000000,1999.23000000
1771391280000,1999.24000000,1999.24000000,1997.65000000,1997.87000000
1771391340000,1997.87000000,1997.88000000,1997.19000000,1997.20000000
1771391400000,1997.20000000,1998.17000000,1996.96000000,1998.17000000
1771391460000,1998.16000000,1998.17000000,1997.80000000,1997.81000000
1771391520000,1997.81000000,1998.24000000,1997.81000000,1998.23000000
1771391580000,1998.24000000,2001.44000000,1998.23000000,2000.28000000
1771391640000,2000.28000000,2000.28000000,1999.00000000,1999.24000000
1771391700000,1999.24000000,2000.46000000,1999.23000000,2000.09000000
1771391760000,2000.10000000,2000.35000000,1999.62000000,2000.04000000
1771391820000,2000.03000000,2000.03000000,1998.88000000,1998.88000000
1771391880000,1998.89000000,1999.15000000,1998.21000000,1998.91000000
1771391940000,1998.92000000,2001.23000000,1998.91000000,2001.11000000
1771392000000,2001.10000000,2002.01000000,2000.26000000,2001.19000000
1771392060000,2001.20000000,2002.53000000,2000.31000000,2000.31000000
1771392120000,2000.31000000,2000.40000000,1999.64000000,1999.80000000
1771392180000,1999.80000000,2000.47000000,1999.79000000,2000.47000000
1771392240000,2000.47000000,2002.00000000,2000.47000000,2001.84000000
1771392300000,2001.83000000,2002.91000000,2001.39000000,2001.89000000
1771392360000,2001.86000000,2001.97000000,2000.61000000,2001.97000000
1771392420000,2001.96000000,2001.96000000,2001.10000000,2001.10000000
1771392480000,2001.09000000,2001.09000000,1998.78000000,1999.34000000
1771392540000,1999.34000000,1999.47000000,1997.88000000,1998.38000000
1771392600000,1998.37000000,1998.37000000,1997.67000000,1997.88000000
1771392660000,1997.88000000,1998.71000000,1997.78000000,1998.70000000
1771392720000,1998.70000000,1998.71000000,1996.73000000,1996.82000000
1771392780000,1996.81000000,1997.16000000,1996.00000000,1996.52000000
1771392840000,1996.52000000,1997.51000000,1996.30000000,1997.51000000
1771392900000,1997.51000000,1998.03000000,1997.30000000,1998.02000000
1771392960000,1998.02000000,1998.90000000,1998.02000000,1998.90000000
1771393020000,1998.91000000,1999.11000000,1998.88000000,1998.89000000
1771393080000,1998.89000000,1999.13000000,1998.77000000,1999.12000000
1771393140000,1999.12000000,1999.98000000,1999.08000000,1999.41000000
1771393200000,1999.41000000,2000.78000000,1999.17000000,1999.57000000
1771393260000,1999.58000000,1999.58000000,1999.08000000,1999.24000000
1771393320000,1999.24000000,1999.24000000,1998.78000000,1998.78000000
1771393380000,1998.78000000,1998.80000000,1998.56000000,1998.80000000
1771393440000,1998.79000000,1998.80000000,1998.79000000,1998.80000000
1771393500000,1998.79000000,1998.80000000,1997.99000000,1998.00000000
1771393560000,1998.00000000,1999.09000000,1997.63000000,1998.94000000
1771393620000,1998.94000000,2001.47000000,1998.94000000,2000.21000000
1771393680000,2000.21000000,2001.19000000,1999.86000000,2001.00000000
1771393740000,2001.01000000,2001.01000000,1999.95000000,1999.95000000
1771393800000,1999.95000000,1999.95000000,1997.34000000,1997.61000000
1771393860000,1997.61000000,1998.04000000,1997.40000000,1997.87000000
1771393920000,1997.86000000,1998.50000000,1997.86000000,1998.36000000
1771393980000,1998.36000000,1998.36000000,1997.35000000,1997.35000000
1771394040000,1997.35000000,1997.56000000,1996.99000000,1997.55000000
1771394100000,1997.56000000,1997.79000000,1996.85000000,1996.86000000
1771394160000,1996.85000000,1997.00000000,1996.35000000,1996.36000000
1771394220000,1996.36000000,1997.19000000,1996.35000000,1997.19000000
1771394280000,1997.18000000,1997.84000000,1996.52000000,1996.52000000
1771394340000,1996.53000000,1996.61000000,1996.21000000,1996.49000000
1771394400000,1996.50000000,1996.78000000,1996.39000000,1996.39000000
1771394460000,1996.39000000,1996.47000000,1995.56000000,1996.43000000
1771394520000,1996.44000000,1997.03000000,1996.41000000,1996.79000000
1771394580000,1996.79000000,1997.01000000,1996.79000000,1996.86000000
1771394640000,1996.85000000,1997.36000000,1996.85000000,1997.05000000
1771394700000,1997.05000000,1998.55000000,1996.94000000,1998.55000000
1771394760000,1998.55000000,2000.05000000,1998.22000000,2000.04000000
1771394820000,2000.05000000,2000.65000000,1999.58000000,1999.60000000
1771394880000,1999.60000000,2000.28000000,1999.60000000,1999.60000000
1771394940000,1999.60000000,1999.60000000,1998.68000000,1999.08000000
1771395000000,1999.07000000,2000.40000000,1998.85000000,2000.08000000
1771395060000,2000.08000000,2000.29000000,1999.90000000,1999.91000000
1771395120000,1999.90000000,1999.91000000,1999.69000000,1999.90000000
1771395180000,1999.91000000,2001.37000000,1999.90000000,2000.57000000
1771395240000,2000.57000000,2000.57000000,1999.42000000,2000.16000000
1771395300000,2000.16000000,2000.72000000,1999.82000000,2000.26000000
1771395360000,2000.25000000,2000.71000000,1999.92000000,2000.54000000
1771395420000,2000.54000000,2000.64000000,2000.18000000,2000.34000000
1771395480000,2000.35000000,2000.35000000,1998.84000000,1999.09000000
1771395540000,1999.09000000,1999.09000000,1998.93000000,1999.04000000
1771395600000,1999.04000000,1999.37000000,1999.03000000,1999.13000000
1771395660000,1999.14000000,1999.62000000,1999.03000000,1999.56000000
1771395720000,1999.55000000,2000.48000000,1999.03000000,2000.28000000
1771395780000,2000.27000000,2002.00000000,1999.35000000,2001.55000000
1771395840000,2001.54000000,2003.31000000,2001.46000000,2002.90000000
1771395900000,2002.90000000,2003.79000000,2001.66000000,2001.94000000
1771395960000,2001.94000000,2003.71000000,2001.94000000,2003.39000000
1771396020000,2003.39000000,2006.66000000,2003.19000000,2006.26000000
1771396080000,2006.26000000,2006.26000000,2004.40000000,2004.47000000
1771396140000,2004.48000000,2005.55000000,2004.47000000,2005.31000000
1771396200000,2005.30000000,2005.30000000,2004.51000000,2005.07000000
1771396260000,2005.06000000,2006.19000000,2004.92000000,2005.94000000
1771396320000,2005.94000000,2005.94000000,2003.38000000,2004.05000000
1771396380000,2004.04000000,2004.04000000,2003.09000000,2003.69000000
1771396440000,2003.70000000,2003.77000000,2003.62000000,2003.62000000
1771396500000,2003.63000000,2003.63000000,2002.50000000,2002.63000000
1771396560000,2002.63000000,2003.63000000,2002.63000000,2003.62000000
1771396620000,2003.63000000,2005.78000000,2003.51000000,2004.80000000
1771396680000,2004.81000000,2005.76000000,2004.33000000,2004.50000000
1771396740000,2004.50000000,2004.50000000,2003.00000000,2003.20000000
1771396800000,2003.19000000,2005.08000000,2003.19000000,2005.08000000
1771396860000,2005.08000000,2005.08000000,2004.54000000,2004.78000000
1771396920000,2004.77000000,2004.98000000,2004.15000000,2004.97000000
1771396980000,2004.98000000,2005.42000000,2004.37000000,2005.42000000
1771397040000,2005.42000000,2005.80000000,2004.74000000,2004.87000000
1771397100000,2004.88000000,2008.62000000,2004.75000000,2007.47000000
1771397160000,2007.47000000,2007.47000000,2005.23000000,2005.23000000
1771397220000,2005.24000000,2006.31000000,2005.21000000,2005.85000000
1771397280000,2005.86000000,2005.86000000,2004.93000000,2004.93000000
1771397340000,2004.93000000,2005.20000000,2004.82000000,2005.19000000
1771397400000,2005.20000000,2005.26000000,2005.00000000,2005.06000000
