open_time,open,high,low,close,close_time,volume,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
1772526780000,1977.89000000,1979.28000000,1976.30000000,1979.20000000,1772526839999,477.36420000,944005.56070900,7891,153.82030000,304214.64917500
1772526840000,1979.20000000,1979.69000000,1976.60000000,1977.81000000,1772526899999,385.58550000,762672.97703200,6108,222.97960000,441039.44004100
1772526900000,1977.81000000,1979.46000000,1976.60000000,1979.44000000,1772526959999,204.46770000,404376.41206800,6524,109.11340000,215803.54173300
1772526960000,1979.44000000,1981.41000000,1979.23000000,1980.49000000,1772527019999,112.98410000,223744.19356200,3962,83.14530000,164648.71657300
1772527020000,1980.49000000,1980.95000000,1975.20000000,1976.10000000,1772527079999,323.66770000,640171.30697100,8000,104.53800000,206766.73963900
1772527080000,1976.09000000,1977.68000000,1974.68000000,1975.15000000,1772527139999,675.69400000,1334790.49805800,6843,186.37310000,368226.15022600
1772527140000,1975.15000000,1975.41000000,1972.38000000,1974.28000000,1772527199999,863.09420000,1703461.10805600,8138,359.10290000,708776.72828200
1772527200000,1974.28000000,1974.29000000,1965.30000000,1968.42000000,1772527259999,3855.77670000,7586890.45785000,19600,1244.69680000,2448639.78930000
1772527260000,1968.42000000,1968.42000000,1962.80000000,1963.30000000,1772527319999,1246.82590000,2449406.78404400,12327,453.80940000,891546.42427500
1772527320000,1963.30000000,1964.72000000,1962.30000000,1963.77000000,1772527379999,305.39550000,599625.47737900,9706,112.33390000,220562.26706900
1772527380000,1963.78000000,1964.87000000,1961.11000000,1961.59000000,1772527439999,679.56510000,1333864.46393800,9708,235.71410000,462679.94501900
1772527440000,1961.59000000,1962.83000000,1958.52000000,1961.66000000,1772527499999,1227.80200000,2406840.96746800,13226,515.90730000,1011342.26000400
1772527500000,1961.65000000,1961.65000000,1956.80000000,1959.99000000,1772527559999,799.53750000,1565540.11522000,11215,375.75040000,735649.62153400
1772527560000,1960.00000000,1960.51000000,1956.20000000,1956.46000000,1772527619999,703.92010000,1378144.13897000,7580,154.70430000,302978.44611000
1772527620000,1956.45000000,1960.08000000,1954.55000000,1957.17000000,1772527679999,1296.31620000,2536654.91632700,11144,622.60650000,1218580.58277300
1772527680000,1957.18000000,1958.05000000,1953.16000000,1953.40000000,1772527739999,995.20680000,1946163.65513600,8149,325.08020000,635792.31544000
1772527740000,1953.41000000,1956.01000000,1952.27000000,1954.43000000,1772527799999,923.49970000,1804240.44694900,9583,570.59310000,1114822.19348000
1772527800000,1954.44000000,1955.05000000,1953.28000000,1953.86000000,1772527859999,224.08490000,437914.52690800,5976,142.49900000,278480.05725100
1772527860000,1953.85000000,1957.01000000,1953.21000000,1953.28000000,1772527919999,526.62220000,1029814.19434000,8499,257.90960000,504359.39769500
1772527920000,1953.28000000,1955.34000000,1953.28000000,1953.78000000,1772527979999,260.16850000,508374.90145200,8738,153.53920000,300002.48011000
1772527980000,1953.78000000,1956.73000000,1953.31000000,1956.73000000,1772528039999,463.76160000,906908.06999500,6747,352.70750000,689729.71877600
1772528040000,1956.73000000,1957.88000000,1954.51000000,1954.91000000,1772528099999,423.78630000,828778.71885600,6239,229.12170000,448124.46352800
1772528100000,1954.92000000,1955.61000000,1951.78000000,1952.27000000,1772528159999,907.55400000,1772462.45672100,8612,575.65250000,1124268.48741300
1772528160000,1952.27000000,1952.27000000,1947.93000000,1949.27000000,1772528219999,2715.49130000,5294477.37071200,11409,695.23530000,1355110.20003500
1772528220000,1949.27000000,1952.64000000,1948.27000000,1952.12000000,1772528279999,497.08810000,969262.44927500,8653,310.34350000,605129.93151200
1772528280000,1952.12000000,1956.34000000,1951.85000000,1952.57000000,1772528339999,1059.70070000,2070842.70350600,8668,764.13350000,1493228.57097100
1772528340000,1952.58000000,1953.60000000,1952.00000000,1953.10000000,1772528399999,231.69060000,452453.56233300,4190,142.20820000,277711.12787000
1772528400000,1953.10000000,1956.47000000,1950.95000000,1955.32000000,1772528459999,582.85610000,1138669.99045300,10121,387.58830000,757201.83166800
1772528460000,1955.32000000,1956.70000000,1952.51000000,1954.00000000,1772528519999,503.56530000,984201.61683400,7937,214.72420000,419704.27182400
1772528520000,1954.00000000,1959.51000000,1953.29000000,1957.66000000,1772528579999,956.75500000,1872809.79895600,10923,744.32240000,1456953.81502900
1772528580000,1957.66000000,1958.60000000,1955.89000000,1957.12000000,1772528639999,362.65580000,709735.75039800,5347,165.86160000,324594.16367700
1772528640000,1957.13000000,1959.43000000,1956.63000000,1957.63000000,1772528699999,332.73150000,651499.66177300,4711,205.20140000,401835.84224200
1772528700000,1957.62000000,1959.28000000,1954.62000000,1959.20000000,1772528759999,334.56150000,654551.20200900,6448,148.22730000,290023.96103100
1772528760000,1959.19000000,1963.52000000,1958.08000000,1962.10000000,1772528819999,817.48510000,1603530.54841800,8900,612.42060000,1201206.39615700
1772528820000,1962.11000000,1963.25000000,1960.83000000,1961.85000000,1772528879999,366.95170000,719969.50984200,4844,255.90270000,502078.89810100
1772528880000,1961.85000000,1967.89000000,1961.71000000,1965.65000000,1772528939999,715.78580000,1406886.72076200,9162,493.59320000,970026.86833000
1772528940000,1965.65000000,1968.37000000,1964.87000000,1966.50000000,1772528999999,1983.53220000,3902221.03779900,7478,1732.33880000,3408102.75172200
1772529000000,1966.49000000,1967.59000000,1964.21000000,1967.37000000,1772529059999,602.90150000,1185222.39432900,7422,353.53860000,694943.95505300
1772529060000,1967.37000000,1968.80000000,1966.09000000,1966.74000000,1772529119999,221.48110000,435699.98465700,5406,124.17460000,244284.77763500
1772529120000,1966.74000000,1966.75000000,1964.37000000,1965.56000000,1772529179999,412.46190000,810626.05741100,4026,185.07310000,363710.62633400
1772529180000,1965.57000000,1966.72000000,1965.48000000,1965.91000000,1772529239999,189.98150000,373500.39965600,2657,122.65900000,241125.91180900
1772529240000,1965.91000000,1966.94000000,1965.56000000,1965.70000000,1772529299999,182.90850000,359624.68841200,3092,86.55450000,170166.45710300
1772529300000,1965.70000000,1968.80000000,1964.50000000,1967.64000000,1772529359999,256.22970000,503814.01298900,5424,169.17220000,332673.44292700
1772529360000,1967.64000000,1968.89000000,1963.14000000,1963.82000000,1772529419999,328.96080000,646771.55572800,6666,177.05380000,348202.09097000
1772529420000,1963.82000000,1965.58000000,1962.45000000,1964.01000000,1772529479999,268.93420000,528087.85446700,4378,160.63390000,315448.10950800
1772529480000,1964.01000000,1965.02000000,1963.63000000,1963.73000000,1772529539999,169.30870000,332574.94168100,3597,95.56370000,187719.61353900
1772529540000,1963.73000000,1965.48000000,1963.23000000,1965.48000000,1772529599999,161.81290000,317847.77755700,3880,84.23700000,165449.55965000
1772529600000,1965.47000000,1965.47000000,1963.35000000,1963.99000000,1772529659999,233.38300000,458448.78253400,5876,118.07640000,231910.10430100
1772529660000,1964.00000000,1964.08000000,1962.11000000,1962.12000000,1772529719999,190.22460000,373492.82337100,3398,67.50940000,132560.82751700
1772529720000,1962.11000000,1963.70000000,1962.00000000,1962.70000000,1772529779999,159.81970000,313755.03111100,3388,96.28630000,189018.02646700
1772529780000,1962.69000000,1963.49000000,1960.68000000,1961.90000000,1772529839999,428.07680000,839789.05211100,3997,99.91220000,196050.42667500
1772529840000,1961.89000000,1962.68000000,1956.06000000,1958.03000000,1772529899999,1150.48750000,2252977.23818800,9502,401.91300000,786866.72607900
1772529900000,1958.03000000,1959.31000000,1956.16000000,1956.16000000,1772529959999,378.52020000,740883.83033200,5417,135.81720000,265819.90978000
1772529960000,1956.15000000,1956.43000000,1949.08000000,1951.16000000,1772530019999,1736.98590000,3391673.89591900,11068,652.33020000,1273412.30480600
1772530020000,1951.15000000,1952.78000000,1950.39000000,1950.86000000,1772530079999,404.49810000,789471.98998100,7354,191.22440000,373173.32802900
1772530080000,1950.86000000,1951.36000000,1945.55000000,1947.86000000,1772530139999,1224.07810000,2383583.80749300,11619,535.70100000,1043014.74505600
1772530140000,1947.86000000,1949.09000000,1947.04000000,1949.09000000,1772530199999,275.89830000,537500.46652100,5120,75.77950000,147642.33835900
1772530200000,1949.08000000,1949.08000000,1945.91000000,1947.87000000,1772530259999,395.87820000,770905.54261400,7441,136.65940000,266127.81389600
1772530260000,1947.86000000,1947.86000000,1939.10000000,1939.68000000,1772530319999,3912.63930000,7600480.78147000,16419,824.57910000,1601054.92710800
1772530320000,1939.69000000,1944.93000000,1939.31000000,1943.80000000,1772530379999,747.21510000,1451695.72637500,10998,526.16350000,1022236.90881900
1772530380000,1943.80000000,1949.50000000,1943.80000000,1948.74000000,1772530439999,1103.10720000,2148038.68593000,12047,685.06420000,1333936.74279500
1772530440000,1948.74000000,1951.27000000,1947.37000000,1950.40000000,1772530499999,448.65840000,874537.00585900,8004,222.70470000,434186.99958500
1772530500000,1950.40000000,1950.91000000,1948.02000000,1948.70000000,1772530559999,575.35790000,1121535.65599200,6125,214.80460000,418704.79649100
1772530560000,1948.70000000,1949.79000000,1948.00000000,1948.57000000,1772530619999,389.22840000,758460.49267200,5721,223.11780000,434765.57844500
1772530620000,1948.56000000,1951.04000000,1947.53000000,1951.04000000,1772530679999,377.54690000,735811.54225600,4854,257.63720000,502108.56652200
1772530680000,1951.05000000,1955.61000000,1950.96000000,1954.38000000,1772530739999,411.75560000,804473.57935200,6953,292.42100000,571269.14836200
1772530740000,1954.38000000,1954.52000000,1952.21000000,1953.60000000,1772530799999,319.39210000,623899.11907700,4203,180.86420000,353317.67673500
1772530800000,1953.61000000,1953.61000000,1951.02000000,1951.53000000,1772530859999,395.02380000,770956.95403400,5383,92.14830000,179820.50282400
1772530860000,1951.53000000,1952.07000000,1950.85000000,1951.55000000,1772530919999,188.71620000,368254.75262000,3507,113.64870000,221769.49148700
1772530920000,1951.54000000,1951.98000000,1951.01000000,1951.43000000,1772530979999,217.37820000,424229.89567600,3184,127.81040000,249418.22223800
1772530980000,1951.42000000,1951.43000000,1950.70000000,1950.71000000,1772531039999,78.79130000,153724.70219000,1756,42.39390000,82711.54743200
1772531040000,1950.70000000,1950.71000000,1949.38000000,1950.44000000,1772531099999,290.31170000,566186.04105400,2828,195.64280000,381555.45613000
1772531100000,1950.43000000,1950.43000000,1948.21000000,1949.01000000,1772531159999,287.54680000,560420.88753400,4650,153.57710000,299294.09297700
1772531160000,1949.00000000,1949.00000000,1945.57000000,1947.59000000,1772531219999,417.94070000,813772.21204400,6628,202.33260000,393954.50197000
1772531220000,1947.59000000,1948.99000000,1946.69000000,1947.53000000,1772531279999,410.54650000,799765.60873500,5816,289.94890000,564809.22780700
1772531280000,1947.54000000,1949.59000000,1947.54000000,1949.46000000,1772531339999,163.85130000,319286.52418700,3823,117.73240000,229412.77310500
1772531340000,1949.45000000,1949.45000000,1947.42000000,1948.41000000,1772531399999,261.83450000,510101.96958800,3999,193.71050000,377360.19248200
1772531400000,1948.40000000,1949.35000000,1945.79000000,1945.79000000,1772531459999,178.94180000,348480.17205800,3619,94.61740000,184239.79169700
1772531460000,1945.80000000,1947.87000000,1945.50000000,1946.09000000,1772531519999,254.34840000,495172.58797300,4719,151.24240000,294432.48514100
1772531520000,1946.09000000,1948.38000000,1945.23000000,1947.70000000,1772531579999,356.45890000,693827.32542100,4801,220.87540000,429918.20330900
1772531580000,1947.70000000,1949.00000000,1947.30000000,1948.18000000,1772531639999,236.55880000,460802.24851600,3557,149.56380000,291326.51146000
1772531640000,1948.17000000,1949.77000000,1947.03000000,1948.41000000,1772531699999,419.68950000,817670.28276200,4544,89.67260000,174700.04882100
1772531700000,1948.41000000,1951.62000000,1948.20000000,1950.01000000,1772531759999,426.96580000,832603.91847700,6185,158.89620000,309856.03907800
1772531760000,1950.01000000,1951.84000000,1950.00000000,1951.01000000,1772531819999,235.09700000,458612.24015400,3739,134.99680000,263341.46943300
1772531820000,1951.01000000,1952.49000000,1951.01000000,1951.93000000,1772531879999,164.39700000,320879.87272300,2758,111.93560000,218477.55274000
1772531880000,1951.92000000,1952.37000000,1951.20000000,1952.37000000,1772531939999,160.17340000,312586.85908900,2357,98.63440000,192480.90261900
1772531940000,1952.36000000,1952.37000000,1951.45000000,1951.58000000,1772531999999,183.77520000,358662.25194600,1476,98.34640000,191926.20047000
1772532000000,1951.57000000,1951.57000000,1948.41000000,1948.94000000,1772532059999,410.38690000,800120.96014500,6057,155.19030000,302489.37348200
1772532060000,1948.94000000,1949.76000000,1947.66000000,1949.06000000,1772532119999,297.10050000,578941.96901000,5121,131.01630000,255309.75069100
1772532120000,1949.07000000,1949.37000000,1946.70000000,1946.84000000,1772532179999,307.10950000,598201.84532400,4852,185.38690000,361072.40140600
1772532180000,1946.85000000,1949.61000000,1946.85000000,1949.61000000,1772532239999,136.61430000,266079.07749800,3490,109.04700000,212378.02264400
1772532240000,1949.60000000,1953.68000000,1949.60000000,1952.55000000,1772532299999,391.52710000,764366.43535400,6321,247.88790000,483900.16079800
1772532300000,1952.55000000,1953.13000000,1950.39000000,1950.46000000,1772532359999,145.69160000,284367.78720900,4611,71.98470000,140498.17785200
1772532360000,1950.45000000,1951.06000000,1948.85000000,1951.06000000,1772532419999,167.45510000,326508.45020200,4506,79.32490000,154655.47541900
1772532420000,1951.06000000,1951.06000000,1947.96000000,1949.28000000,1772532479999,109.11700000,212716.29820900,4684,37.81930000,73705.97863700
1772532480000,1949.28000000,1951.22000000,1948.57000000,1949.19000000,1772532539999,161.16810000,314263.69184100,4254,82.42270000,160712.00902300
1772532540000,1949.19000000,1949.19000000,1946.72000000,1946.72000000,1772532599999,308.20840000,600341.97549000,4606,70.37260000,137068.20585200
1772532600000,1946.72000000,1947.80000000,1946.06000000,1947.22000000,1772532659999,243.04410000,473215.66598100,3396,48.07560000,93600.62839400
1772532660000,1947.23000000,1947.45000000,1946.49000000,1946.98000000,1772532719999,53.73830000,104636.54859800,1106,23.92540000,46585.42099600
1772532720000,1946.99000000,1948.16000000,1946.91000000,1948.14000000,1772532779999,193.93600000,377685.57473900,3154,100.90680000,196510.51169500
1772532780000,1948.13000000,1948.99000000,1946.38000000,1948.05000000,1772532839999,103.03090000,200656.29550000,3036,56.41560000,109862.91254400
1772532840000,1948.04000000,1948.04000000,1947.06000000,1947.62000000,1772532899999,92.93090000,180973.91817100,2057,20.47070000,39863.67263500
1772532900000,1947.61000000,1948.03000000,1947.06000000,1947.22000000,1772532959999,89.33870000,173979.21097200,2353,46.21330000,89995.22930500
1772532960000,1947.22000000,1947.62000000,1945.24000000,1945.83000000,1772533019999,202.03120000,393238.98372000,3159,31.60730000,61515.94531200
1772533020000,1945.84000000,1951.76000000,1945.84000000,1950.78000000,1772533079999,172.75850000,336853.88532400,6408,87.04890000,169703.97669200
1772533080000,1950.77000000,1950.77000000,1949.52000000,1950.06000000,1772533139999,175.28680000,341782.14608300,2287,119.30860000,232629.43289900
1772533140000,1950.06000000,1950.61000000,1949.01000000,1950.43000000,1772533199999,138.37700000,269829.72814100,2933,86.72560000,169101.79311700
1772533200000,1950.44000000,1952.65000000,1950.44000000,1952.34000000,1772533259999,181.35980000,353985.87824500,3944,134.06370000,261672.22549400
1772533260000,1952.34000000,1954.66000000,1951.93000000,1952.70000000,1772533319999,257.62630000,503193.47699100,4026,165.65410000,323569.16174100
1772533320000,1952.70000000,1952.98000000,1951.04000000,1951.79000000,1772533379999,272.80450000,532507.79205800,3459,107.26660000,209361.60135000
1772533380000,1951.78000000,1956.24000000,1951.60000000,1954.48000000,1772533439999,528.12000000,1032086.88247000,5292,393.30590000,768641.04344900
1772533440000,1954.47000000,1954.79000000,1952.00000000,1952.05000000,1772533499999,375.39340000,733483.87659000,2264,89.49670000,174901.42312300
1772533500000,1952.05000000,1953.06000000,1951.93000000,1952.40000000,1772533559999,177.97820000,347500.68696900,1728,88.63220000,173048.95864500
1772533560000,1952.40000000,1952.40000000,1948.36000000,1948.55000000,1772533619999,260.47000000,508051.68735500,2966,52.27360000,101975.59516600
1772533620000,1948.55000000,1950.47000000,1948.01000000,1949.96000000,1772533679999,122.73550000,239278.20384400,2462,81.55590000,158987.16567400
1772533680000,1949.96000000,1950.36000000,1949.45000000,1950.36000000,1772533739999,119.28690000,232586.90442100,1513,54.32650000,105922.40928500
1772533740000,1950.35000000,1950.86000000,1950.07000000,1950.10000000,1772533799999,136.75560000,266725.27365800,1328,80.45140000,156906.18686700
1772533800000,1950.09000000,1951.08000000,1948.80000000,1951.08000000,1772533859999,220.88490000,430696.88549900,3739,133.03530000,259393.06258500
1772533860000,1951.07000000,1953.39000000,1950.07000000,1952.70000000,1772533919999,273.69630000,534290.19915900,3109,188.36150000,367677.07425000
1772533920000,1952.69000000,1954.30000000,1952.67000000,1952.71000000,1772533979999,161.61140000,315688.63937400,2874,98.65700000,192695.85997900
1772533980000,1952.70000000,1952.70000000,1950.00000000,1951.28000000,1772534039999,194.09080000,378657.32511900,2756,91.67620000,178839.03809400
1772534040000,1951.29000000,1951.80000000,1950.00000000,1951.30000000,1772534099999,237.01410000,462417.22236800,3858,82.08300000,160117.81610400
1772534100000,1951.30000000,1951.99000000,1950.52000000,1951.69000000,1772534159999,138.22360000,269699.50286700,2507,103.81030000,202552.09978300
1772534160000,1951.68000000,1951.96000000,1950.72000000,1951.28000000,1772534219999,191.86370000,374383.93277500,2647,85.52820000,166888.89181900
1772534220000,1951.28000000,1952.22000000,1950.74000000,1952.22000000,1772534279999,117.43030000,229154.37460800,2270,92.32010000,180149.77459800
1772534280000,1952.21000000,1952.65000000,1950.58000000,1951.83000000,1772534339999,111.32580000,217229.79108600,2295,71.76640000,140035.47887100
1772534340000,1951.84000000,1952.25000000,1949.56000000,1949.57000000,1772534399999,433.44180000,845691.38397000,3873,99.05440000,193302.33367200
1772534400000,1949.57000000,1953.92000000,1949.57000000,1953.92000000,1772534459999,322.25150000,628662.80378700,5424,180.24760000,351613.52805200
1772534460000,1953.95000000,1955.58000000,1953.87000000,1954.20000000,1772534519999,201.33600000,393535.39900400,3843,126.16250000,246602.05263300
1772534520000,1954.29000000,1956.62000000,1953.37000000,1956.48000000,1772534579999,207.35690000,405414.39405300,2832,185.21560000,362130.00922000
1772534580000,1956.47000000,1956.74000000,1953.68000000,1955.14000000,1772534639999,302.33250000,591008.83488800,4212,162.22700000,317167.24352600
1772534640000,1955.14000000,1956.37000000,1953.61000000,1956.37000000,1772534699999,252.37530000,493469.20982300,3903,125.65680000,245692.86209900
1772534700000,1956.36000000,1957.52000000,1955.44000000,1956.63000000,1772534759999,311.11330000,608654.97110600,5023,233.39190000,456619.66383800
1772534760000,1956.62000000,1958.58000000,1956.62000000,1958.21000000,1772534819999,395.51000000,774233.98781600,5211,295.51810000,578470.99846600
1772534820000,1958.20000000,1962.16000000,1958.20000000,1959.84000000,1772534879999,596.64940000,1169754.80453200,7291,364.36610000,714309.34515200
1772534880000,1959.84000000,1961.35000000,1959.03000000,1960.96000000,1772534939999,242.46330000,475229.58597200,4220,143.03380000,280350.03715200
1772534940000,1960.97000000,1964.08000000,1960.94000000,1963.65000000,1772534999999,973.53930000,1911195.35622100,6851,643.78480000,1263790.07641800
1772535000000,1963.65000000,1963.66000000,1959.71000000,1960.35000000,1772535059999,389.68100000,764207.41850900,5848,142.21110000,278840.46711000
1772535060000,1960.35000000,1960.90000000,1958.66000000,1958.72000000,1772535119999,300.46030000,588747.61220500,4218,77.83000000,152520.42130100
1772535120000,1958.72000000,1960.01000000,1958.33000000,1958.77000000,1772535179999,173.21760000,339361.29862500,3893,96.90420000,189843.56142500
1772535180000,1958.77000000,1960.49000000,1958.37000000,1959.36000000,1772535239999,187.61430000,367600.39325100,4508,99.77510000,195485.86481500
1772535240000,1959.35000000,1959.36000000,1958.29000000,1958.58000000,1772535299999,144.36810000,282769.97585100,3041,79.08900000,154907.60487800
1772535300000,1958.58000000,1958.98000000,1957.55000000,1958.37000000,1772535359999,234.42870000,459042.78209800,3153,108.55470000,212554.82290800
1772535360000,1958.36000000,1958.80000000,1956.01000000,1956.01000000,1772535419999,399.31290000,781679.83153900,4917,155.91950000,305186.86813200
1772535420000,1956.02000000,1956.58000000,1955.63000000,1955.64000000,1772535479999,134.98320000,264044.48701100,1661,95.79270000,187386.50812500
1772535480000,1955.63000000,1956.27000000,1954.84000000,1956.27000000,1772535539999,212.44920000,415403.15343000,2593,136.24760000,266410.35139900
1772535540000,1956.27000000,1958.05000000,1954.21000000,1958.05000000,1772535599999,476.08000000,931620.54476700,4769,359.37650000,703352.37279600
1772535600000,1958.05000000,1958.25000000,1956.13000000,1957.01000000,1772535659999,183.21920000,358597.62538400,3171,133.48680000,261258.81808300
1772535660000,1957.02000000,1958.74000000,1956.19000000,1958.26000000,1772535719999,197.82190000,387216.79321400,2858,142.29020000,278513.56882100
1772535720000,1958.26000000,1960.29000000,1957.45000000,1960.14000000,1772535779999,202.71930000,397079.56978500,3680,164.47020000,322156.56153000
1772535780000,1960.14000000,1961.84000000,1960.14000000,1960.64000000,1772535839999,219.05800000,429558.47745800,2590,108.63500000,213029.80603100
1772535840000,1960.63000000,1961.96000000,1960.00000000,1960.72000000,1772535899999,119.16510000,233655.59517300,3456,79.42400000,155723.07885400
1772535900000,1960.71000000,1960.71000000,1959.06000000,1959.54000000,1772535959999,184.92290000,362365.67950800,2612,95.65780000,187443.65627600
1772535960000,1959.55000000,1960.28000000,1958.46000000,1959.46000000,1772536019999,294.56710000,577099.77636500,3287,108.43240000,212439.98684500
1772536020000,1959.45000000,1959.45000000,1957.50000000,1958.57000000,1772536079999,191.42010000,374880.21924300,2548,104.06550000,203798.84922300
1772536080000,1958.58000000,1959.84000000,1956.91000000,1956.91000000,1772536139999,254.25420000,498017.87280200,4251,107.55110000,210674.27412900
