open_time,open,high,low,close,close_time,volume,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
1772526420000,1.00010000,1.00020000,1.00010000,1.00010000,1772526479999,204310.00000000,204336.18020000,299,57492.00000000,57503.49840000
1772526480000,1.00010000,1.00020000,1.00010000,1.00010000,1772526539999,4466882.00000000,4467751.14720000,424,4224590.00000000,4225434.91800000
1772526540000,1.00010000,1.00020000,1.00010000,1.00010000,1772526599999,1934647.00000000,1935030.30350000,369,1898388.00000000,1898767.67760000
1772526600000,1.00020000,1.00020000,1.00010000,1.00010000,1772526659999,9056008.00000000,9057795.31020000,464,8817094.00000000,8818857.41880000
1772526660000,1.00020000,1.00020000,1.00010000,1.00020000,1772526719999,1201983.00000000,1202212.72530000,356,1095270.00000000,1095489.05400000
1772526720000,1.00010000,1.00020000,1.00010000,1.00010000,1772526779999,253512.00000000,253545.18520000,415,78340.00000000,78355.66800000
1772526780000,1.00020000,1.00020000,1.00010000,1.00020000,1772526839999,420678.00000000,420736.65790000,426,165901.00000000,165934.18020000
1772526840000,1.00020000,1.00020000,1.00010000,1.00010000,1772526899999,2948665.00000000,2949249.11850000,302,2892520.00000000,2893098.50400000
1772526900000,1.00010000,1.00020000,1.00010000,1.00010000,1772526959999,106304.00000000,106317.47400000,224,28436.00000000,28441.68720000
1772526960000,1.00010000,1.00020000,1.00010000,1.00010000,1772527019999,56306.00000000,56314.17660000,235,25460.00000000,25465.09200000
1772527020000,1.00010000,1.00020000,1.00010000,1.00010000,1772527079999,154829.00000000,154853.82220000,234,93393.00000000,93411.67860000
1772527080000,1.00020000,1.00020000,1.00010000,1.00020000,1772527139999,235826.00000000,235854.17330000,316,45907.00000000,45916.18140000
1772527140000,1.00010000,1.00020000,1.00010000,1.00010000,1772527199999,491863.00000000,491937.59760000,460,254113.00000000,254163.82260000
1772527200000,1.00010000,1.00020000,1.00010000,1.00010000,1772527259999,2271962.00000000,2272203.89260000,606,146964.00000000,146993.39280000
1772527260000,1.00020000,1.00020000,1.00010000,1.00020000,1772527319999,615688.00000000,615783.71490000,353,341461.00000000,341529.29220000
1772527320000,1.00020000,1.00020000,1.00010000,1.00010000,1772527379999,137814.00000000,137833.39430000,312,56129.00000000,56140.22580000
1772527380000,1.00010000,1.00020000,1.00010000,1.00020000,1772527439999,231322.00000000,231358.93740000,407,138052.00000000,138079.61040000
1772527440000,1.00010000,1.00020000,1.00010000,1.00010000,1772527499999,741815.00000000,741902.87690000,484,136954.00000000,136981.39080000
1772527500000,1.00020000,1.00020000,1.00010000,1.00010000,1772527559999,286751.00000000,286786.58220000,382,69071.00000000,69084.81420000
1772527560000,1.00020000,1.00020000,1.00010000,1.00020000,1772527619999,210344.00000000,210374.14690000,346,91125.00000000,91143.22500000
1772527620000,1.00010000,1.00020000,1.00010000,1.00010000,1772527679999,341400.00000000,341448.85050000,406,147105.00000000,147134.42100000
1772527680000,1.00010000,1.00020000,1.00010000,1.00020000,1772527739999,479263.00000000,479345.57180000,351,346455.00000000,346524.29100000
1772527740000,1.00010000,1.00020000,1.00010000,1.00010000,1772527799999,756384.00000000,756491.44150000,278,318031.00000000,318094.60620000
1772527800000,1.00020000,1.00020000,1.00010000,1.00010000,1772527859999,2805016.00000000,2805563.71490000,389,2672133.00000000,2672667.42660000
1772527860000,1.00020000,1.00020000,1.00010000,1.00010000,1772527919999,351913.00000000,351969.10190000,378,209106.00000000,209147.82120000
1772527920000,1.00020000,1.00020000,1.00010000,1.00020000,1772527979999,247676.00000000,247717.91990000,378,171523.00000000,171557.30460000
1772527980000,1.00010000,1.00020000,1.00010000,1.00010000,1772528039999,424868.00000000,424919.24970000,462,87629.00000000,87646.52580000
1772528040000,1.00020000,1.00020000,1.00010000,1.00020000,1772528099999,303247.00000000,303301.15000000,324,238253.00000000,238300.65060000
1772528100000,1.00010000,1.00020000,1.00010000,1.00020000,1772528159999,2704430.00000000,2704882.65330000,617,1822103.00000000,1822467.42060000
1772528160000,1.00010000,1.00020000,1.00010000,1.00020000,1772528219999,1037595.00000000,1037768.06730000,624,693078.00000000,693216.61560000
1772528220000,1.00010000,1.00020000,1.00010000,1.00010000,1772528279999,450849.00000000,450916.92690000,416,228420.00000000,228465.68400000
1772528280000,1.00010000,1.00020000,1.00010000,1.00010000,1772528339999,417991.00000000,418054.69510000,466,218960.00000000,219003.79200000
1772528340000,1.00010000,1.00020000,1.00010000,1.00010000,1772528399999,191618.00000000,191644.24080000,260,70790.00000000,70804.15800000
1772528400000,1.00010000,1.00020000,1.00010000,1.00020000,1772528459999,274753.00000000,274799.10000000,425,186247.00000000,186284.24940000
1772528460000,1.00020000,1.00020000,1.00010000,1.00020000,1772528519999,2481889.00000000,2482378.52500000,407,2413361.00000000,2413843.67220000
1772528520000,1.00020000,1.00020000,1.00010000,1.00010000,1772528579999,10444810.00000000,10446076.26620000,406,2217852.00000000,2218295.57040000
1772528580000,1.00010000,1.00020000,1.00010000,1.00020000,1772528639999,598120.00000000,598226.13380000,312,463218.00000000,463310.64360000
1772528640000,1.00010000,1.00020000,1.00010000,1.00010000,1772528699999,3260779.00000000,3261178.05550000,300,729776.00000000,729921.95520000
1772528700000,1.00020000,1.00020000,1.00010000,1.00020000,1772528759999,269939.00000000,269976.50670000,369,105128.00000000,105149.02560000
1772528760000,1.00020000,1.00020000,1.00010000,1.00020000,1772528819999,1697356.00000000,1697684.03380000,405,1582982.00000000,1583298.59640000
1772528820000,1.00020000,1.00020000,1.00010000,1.00020000,1772528879999,3154167.00000000,3154494.44680000,373,120301.00000000,120325.06020000
1772528880000,1.00020000,1.00020000,1.00010000,1.00010000,1772528939999,214805.00000000,214835.37780000,528,88973.00000000,88990.79460000
1772528940000,1.00020000,1.00020000,1.00010000,1.00010000,1772528999999,281584.00000000,281628.42010000,504,162617.00000000,162649.52340000
1772529000000,1.00020000,1.00020000,1.00010000,1.00010000,1772529059999,3275176.00000000,3275729.93560000,491,2264180.00000000,2264632.83600000
1772529060000,1.00010000,1.00020000,1.00010000,1.00020000,1772529119999,258780.00000000,258815.62720000,322,97492.00000000,97511.49840000
1772529120000,1.00020000,1.00020000,1.00010000,1.00020000,1772529179999,3980913.00000000,3981330.21760000,503,191263.00000000,191301.25260000
1772529180000,1.00010000,1.00020000,1.00010000,1.00010000,1772529239999,639628.00000000,639702.70890000,296,107461.00000000,107482.49220000
1772529240000,1.00020000,1.00020000,1.00010000,1.00020000,1772529299999,141718.00000000,141738.91260000,407,67408.00000000,67421.48160000
1772529300000,1.00010000,1.00020000,1.00010000,1.00010000,1772529359999,2100849.00000000,2101163.13320000,384,1040483.00000000,1040691.09660000
1772529360000,1.00010000,1.00020000,1.00010000,1.00020000,1772529419999,1917608.00000000,1917957.27260000,378,1575118.00000000,1575433.02360000
1772529420000,1.00010000,1.00020000,1.00010000,1.00020000,1772529479999,1219807.00000000,1220043.17960000,400,1141989.00000000,1142217.39780000
1772529480000,1.00020000,1.00020000,1.00010000,1.00020000,1772529539999,1038154.00000000,1038355.53630000,408,977209.00000000,977404.44180000
1772529540000,1.00020000,1.00020000,1.00010000,1.00010000,1772529599999,3513103.00000000,3513750.34480000,343,2960345.00000000,2960937.06900000
1772529600000,1.00020000,1.00020000,1.00010000,1.00020000,1772529659999,808821.00000000,808976.62540000,427,747433.00000000,747582.48660000
1772529660000,1.00020000,1.00020000,1.00010000,1.00020000,1772529719999,1737129.00000000,1737370.67600000,464,679631.00000000,679766.92620000
1772529720000,1.00020000,1.00020000,1.00010000,1.00020000,1772529779999,1231052.00000000,1231228.45040000,430,533452.00000000,533558.69040000
1772529780000,1.00010000,1.00020000,1.00010000,1.00010000,1772529839999,500313.00000000,500401.40680000,484,383755.00000000,383831.75100000
1772529840000,1.00020000,1.00020000,1.00010000,1.00010000,1772529899999,2969699.00000000,2970073.14450000,667,771746.00000000,771900.34920000
1772529900000,1.00020000,1.00020000,1.00010000,1.00020000,1772529959999,602523.00000000,602615.57480000,420,323225.00000000,323289.64500000
1772529960000,1.00010000,1.00020000,1.00010000,1.00010000,1772530019999,5302482.00000000,5303355.40600000,743,3431578.00000000,3432264.31560000
1772530020000,1.00010000,1.00020000,1.00010000,1.00010000,1772530079999,3464539.00000000,3464924.06230000,576,386084.00000000,386161.21680000
1772530080000,1.00020000,1.00020000,1.00010000,1.00010000,1772530139999,864533.00000000,864667.74690000,697,482936.00000000,483032.58720000
