open_time,open,high,low,close,close_time,volume,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
1772526420000,1.36080000,1.36100000,1.35960000,1.36040000,1772526479999,172016.20000000,233979.18229000,477,6854.70000000,9324.78408000
1772526480000,1.36050000,1.36110000,1.35950000,1.36000000,1772526539999,82189.90000000,111802.43695000,639,32773.80000000,44582.17886000
1772526540000,1.36010000,1.36010000,1.35890000,1.35900000,1772526599999,28487.50000000,38728.94516000,490,14653.50000000,19922.76671000
1772526600000,1.35900000,1.35930000,1.35660000,1.35810000,1772526659999,140858.80000000,191235.92448000,1160,57663.00000000,78288.10969000
1772526660000,1.35810000,1.35810000,1.35650000,1.35700000,1772526719999,35893.30000000,48729.00096000,793,12343.80000000,16756.98382000
1772526720000,1.35710000,1.35860000,1.35670000,1.35710000,1772526779999,158631.20000000,215371.96115000,953,63714.80000000,86486.50273000
1772526780000,1.35700000,1.35850000,1.35690000,1.35820000,1772526839999,131422.30000000,178426.68962000,962,87448.90000000,118714.02202000
1772526840000,1.35820000,1.35820000,1.35690000,1.35780000,1772526899999,15309.70000000,20784.73973000,691,7860.60000000,10671.24166000
1772526900000,1.35780000,1.35930000,1.35730000,1.35930000,1772526959999,62930.40000000,85463.12359000,806,19856.20000000,26963.92899000
1772526960000,1.35930000,1.35990000,1.35880000,1.35930000,1772527019999,75468.00000000,102599.14434000,639,57330.50000000,77944.56399000
1772527020000,1.35940000,1.35960000,1.35730000,1.35750000,1772527079999,88940.20000000,120784.08470000,660,48453.00000000,65806.12981000
1772527080000,1.35740000,1.35830000,1.35640000,1.35690000,1772527139999,63936.30000000,86755.12399000,929,45657.10000000,61950.24548000
1772527140000,1.35690000,1.35690000,1.35500000,1.35580000,1772527199999,275713.50000000,373803.74928000,1357,119653.10000000,162219.97668000
1772527200000,1.35580000,1.35580000,1.35350000,1.35570000,1772527259999,501819.50000000,679702.47491000,2104,177697.90000000,240683.30406000
1772527260000,1.35570000,1.35570000,1.35350000,1.35370000,1772527319999,110809.80000000,150078.66939000,1352,40136.20000000,54357.65518000
1772527320000,1.35370000,1.35410000,1.35280000,1.35310000,1772527379999,48889.60000000,66166.35276000,974,20929.20000000,28327.39245000
1772527380000,1.35320000,1.35400000,1.35270000,1.35310000,1772527439999,62878.30000000,85097.31711000,1023,25511.90000000,34527.52932000
1772527440000,1.35310000,1.35320000,1.35140000,1.35190000,1772527499999,120627.00000000,163093.67501000,1274,30153.50000000,40771.15251000
1772527500000,1.35180000,1.35230000,1.35040000,1.35210000,1772527559999,143439.60000000,193797.51558000,1291,73637.90000000,99493.14319000
1772527560000,1.35220000,1.35220000,1.35020000,1.35060000,1772527619999,235419.50000000,317988.59512000,947,135057.20000000,182432.68011000
1772527620000,1.35060000,1.35330000,1.35020000,1.35130000,1772527679999,161240.20000000,217837.59309000,1160,117927.80000000,159287.90058000
1772527680000,1.35130000,1.35200000,1.35010000,1.35050000,1772527739999,132419.70000000,178829.42920000,807,37725.10000000,50961.47834000
1772527740000,1.35050000,1.35150000,1.34940000,1.34980000,1772527799999,257329.30000000,347430.38429000,1421,45791.90000000,61839.52471000
1772527800000,1.34980000,1.35000000,1.34930000,1.34960000,1772527859999,79154.40000000,106834.38203000,776,54701.60000000,73831.62138000
1772527860000,1.34950000,1.35100000,1.34830000,1.34880000,1772527919999,187271.20000000,252724.00225000,1249,46648.30000000,62940.10923000
1772527920000,1.34880000,1.34950000,1.34810000,1.34900000,1772527979999,186440.80000000,251465.66378000,1194,115263.70000000,155462.44454000
1772527980000,1.34890000,1.35030000,1.34890000,1.35030000,1772528039999,59422.30000000,80193.67929000,493,31891.70000000,43040.31999000
1772528040000,1.35040000,1.35070000,1.34940000,1.34950000,1772528099999,71480.40000000,96482.99642000,671,37530.60000000,50655.45987000
1772528100000,1.34950000,1.34970000,1.34830000,1.34900000,1772528159999,178113.40000000,240265.62908000,964,122902.20000000,165783.15049000
1772528160000,1.34900000,1.34900000,1.34750000,1.34780000,1772528219999,213998.20000000,288460.78987000,818,62315.80000000,84001.11583000
1772528220000,1.34780000,1.34980000,1.34780000,1.34970000,1772528279999,148520.20000000,200233.28189000,738,122289.70000000,164860.93317000
1772528280000,1.34970000,1.35100000,1.34900000,1.34900000,1772528339999,496078.40000000,669850.11691000,1089,358655.30000000,484291.09581000
1772528340000,1.34890000,1.34980000,1.34820000,1.34940000,1772528399999,99968.10000000,134892.52466000,582,86088.10000000,116167.22519000
1772528400000,1.34940000,1.35130000,1.34800000,1.35060000,1772528459999,358843.10000000,484167.47006000,1297,107819.60000000,145551.98563000
1772528460000,1.35060000,1.35170000,1.34880000,1.34930000,1772528519999,188869.10000000,255028.78366000,905,137029.60000000,185062.98552000
1772528520000,1.34930000,1.35080000,1.34860000,1.34940000,1772528579999,100092.20000000,135075.93707000,1005,47703.10000000,64379.37486000
1772528580000,1.34940000,1.35040000,1.34850000,1.34970000,1772528639999,182564.20000000,246344.68983000,759,29402.40000000,39680.00418000
1772528640000,1.34960000,1.35050000,1.34920000,1.34920000,1772528699999,127511.70000000,172114.10774000,718,65237.40000000,88051.59109000
1772528700000,1.34920000,1.35180000,1.34800000,1.35170000,1772528759999,137951.10000000,186288.90141000,860,81584.90000000,110218.62096000
1772528760000,1.35170000,1.35360000,1.35050000,1.35310000,1772528819999,255453.00000000,345584.69558000,1442,164251.00000000,222202.08311000
1772528820000,1.35310000,1.35370000,1.35250000,1.35300000,1772528879999,239610.90000000,324214.96892000,723,77292.50000000,104587.64443000
1772528880000,1.35300000,1.35530000,1.35290000,1.35530000,1772528939999,115972.80000000,157065.10230000,725,64891.90000000,87879.81610000
1772528940000,1.35530000,1.35640000,1.35520000,1.35520000,1772528999999,130841.60000000,177379.53528000,714,91448.90000000,123973.54056000
1772529000000,1.35520000,1.35520000,1.35370000,1.35460000,1772529059999,142209.60000000,192599.23043000,877,68582.70000000,92879.87916000
1772529060000,1.35460000,1.35550000,1.35400000,1.35420000,1772529119999,94851.70000000,128495.07461000,585,42418.50000000,57462.35472000
